step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1773291003.1272733,7.100777626037598,6.8827643394470215,0.0,0.20964892208576202,0.0,,,975.3187488295747,9.92972998012762,,,0.0078125,0,10.331648826599121,0,3.7506744861602783,0.08857017010450363,,,,,,,,,,,,,,,,0.05,0.005,0.005,0.05,0.22423708837096143,0.025014016777276993,6.28642737865448e-09,,,,,,,,,,,0.5845351219177246,3503.6389144265368
200,1773291061.153974,6.707908630371094,6.480349540710449,0.0,0.21303889155387878,0.0,,,652.198876492049,9.349168145610037,,,0.0078125,0,11.830714225769043,0,3.7154898643493652,0.09901006519794464,,,,,,,,,,,,,,,,0.049999655783176424,0.004999965578317642,0.004999965578317642,0.049999655783176424,0.2210693054903369,0.029706504195928574,3.4924596548080444e-10,,,,,,,,,,,0.5626850128173828,3639.6917517770644
300,1773291118.154948,6.646792411804199,6.363216400146484,0.0,0.2594478130340576,0.0,,,580.109222314264,9.180180744594654,,,0.0078125,0,12.448229789733887,0,3.7235562801361084,0.09512960910797119,,,,,,,,,,,,,,,,0.04999862462282181,0.004999862462282181,0.004999862462282181,0.04999862462282181,0.32328968309509754,0.03844912350177765,1.8480932340025902e-09,,,,,,,,,,,0.578305721282959,3541.3794548955098
400,1773291175.1517398,6.444888591766357,6.118099212646484,0.0,0.29368093609809875,0.0,,,454.00091463165325,8.826551393751755,,,0.0078125,0,12.259805679321289,0,3.7238516807556152,0.09552258998155594,,,,,,,,,,,,,,,,0.04999690502882004,0.004999690502882004,0.004999690502882004,0.04999690502882004,0.43109615325975875,0.036647774279117584,3.14321368932724e-09,,,,,,,,,,,0.5749802589416504,3561.8614172418625
500,1773291231.9937465,6.5637664794921875,6.184356212615967,0.0,0.33740130066871643,0.0,,,485.1005614379874,8.922140039031907,,,0.0078125,0,12.600408554077148,0,3.7238974571228027,0.09364737570285797,,,,,,,,,,,,,,,,0.04999449849128723,0.0049994498491287235,0.0049994498491287235,0.04999449849128723,0.808176126880325,0.038003306835889816,9.290073649026453e-06,,,,,,,,,,,0.5494403839111328,3727.4289622133892
600,1773291288.7480993,6.431993007659912,6.014561653137207,0.0,0.36511561274528503,0.0,,,409.3463638889421,8.677178270101974,,,0.0078125,0,12.776350021362305,0,3.724775552749634,0.0927622839808464,,,,,,,,,,,,,,,,0.049991405010223394,0.004999140501022339,0.004999140501022339,0.049991405010223394,0.8227947389566302,0.048479095101356506,8.731149137020111e-10,,,,,,,,,,,0.5836484432220459,3508.9616425496906
700,1773291346.6098223,6.266467571258545,5.793506622314453,0.0,0.4139283001422882,0.0,,,328.16174843798177,8.358263273370431,,,0.0078125,0,13.753321647644043,0,3.6945619583129883,0.10053884983062744,,,,,,,,,,,,,,,,0.04998762309551239,0.004998762309551239,0.004998762309551239,0.04998762309551239,0.3639814285431078,0.03741539269685745,2.2080494090914726e-06,,,,,,,,,,,0.5999462604522705,3413.639079033698
800,1773291404.2503803,6.517945289611816,6.006420135498047,0.0,0.4447886049747467,0.0,,,406.02719312453536,8.665432542978648,,,0.0078125,0,13.626215934753418,0,3.6989779472351074,0.09999161958694458,,,,,,,,,,,,,,,,0.04998315423727036,0.004998315423727036,0.004998315423727036,0.04998315423727036,0.4526751732838073,0.03806144744157791,1.5847443137317896e-05,,,,,,,,,,,0.5755965709686279,3558.047603642905
900,1773291462.3662539,6.569125175476074,6.024482727050781,0.0,0.47166740894317627,0.0,,,413.4277317207158,8.691491354237382,,,0.0078125,0,13.627023696899414,0,3.6926140785217285,0.10061593353748322,,,,,,,,,,,,,,,,0.049977996945381166,0.004997799694538117,0.004997799694538117,0.049977996945381166,0.8763328327371248,0.03879855200648308,7.56265944801271e-06,,,,,,,,,,,0.5677738189697266,3607.070159938457
1000,1773291519.1985664,6.630422592163086,6.022261619567871,0.0,0.5278432965278625,0.0,6.327092435359955,5.7801166129112245,412.5104833228783,8.688286973486505,323.79693603515625,8.338945573206935,0.0078125,0,13.41358470916748,0,3.7004032135009766,0.09605669230222702,,,,,,,,,,,,,,,,0.04997215420007706,0.004997215420007706,0.004997215420007706,0.04997215420007706,0.8809704816942944,0.03602819889783859,5.474011413753033e-05,,,,,,,,,,,0.5614867210388184,3647.4593668234083
1100,1773291644.1859305,6.377390384674072,5.744987964630127,0.0,0.5455866456031799,0.0,,,312.61986531170413,8.288265646538663,,,0.0078125,0,13.285835266113281,0,3.702420234680176,0.09502974152565002,,,,,,,,,,,,,,,,0.04996562451124192,0.004996562451124191,0.004996562451124191,0.04996562451124192,0.406351569986305,0.03668596222996712,0.0008964217267930508,,,,,,,,,,,0.562675952911377,3639.750356138937
1200,1773291699.9733384,6.577101230621338,5.889383316040039,0.0,0.5944101214408875,0.0,,,361.1824802372977,8.496584103945164,,,0.0078125,0,13.660494804382324,0,3.695300579071045,0.10072873532772064,,,,,,,,,,,,,,,,0.04995840638875962,0.004995840638875961,0.004995840638875961,0.04995840638875962,0.46593409837660915,0.03614385426044464,5.5553275160491467e-05,,,,,,,,,,,0.562675952911377,3639.750356138937
1300,1773291755.794806,6.504260063171387,5.767025947570801,0.0,0.6389480829238892,0.0,,,319.58585279683115,8.32005973523837,,,0.0078125,0,14.173141479492188,0,3.6852633953094482,0.10039179772138596,,,,,,,,,,,,,,,,0.049950502812862396,0.00499505028128624,0.00499505028128624,0.049950502812862396,0.4222546695460505,0.03471183404326439,0.001822647755034268,,,,,,,,,,,0.5626757144927979,3639.7518983844716
1400,1773291811.6090617,6.800652027130127,6.002921104431152,0.0,0.6904165744781494,0.0,,,404.6089740051314,8.660384508210523,,,0.0078125,0,14.35797119140625,0,3.687303304672241,0.09986525028944016,,,,,,,,,,,,,,,,0.049941913783550264,0.004994191378355026,0.004994191378355026,0.049941913783550264,0.79726143340692,0.03443695604801178,0.00027036317624151707,,,,,,,,,,,0.5624592304229736,3641.1527969056324
