step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_a0,alpha_b0,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1772764631.2712004,7.037746429443359,6.868158340454102,0.0,0.16958816349506378,0.0,,,961.1767744126322,9.908657977813306,,,0.0078125,0,7.26563024520874,0,3.8287556171417236,0.06195245683193207,,,,,,,,,,,,,,,,0.05,0.005,0.005,0.05,0.1314678795556999,0.01872691884636879,0.002223854884505272,,,,,,,,,0.5157856941223145,3970.641340654038
200,1772764683.5362556,6.471354007720947,6.264990329742432,0.0,0.20636369287967682,0.0,,,525.836500960336,9.038470479936718,,,0.0078125,0,8.335837364196777,0,3.8218748569488525,0.06560607999563217,,,,,,,,,,,,,,,,0.049999505281448364,0.004999950528144836,0.004999950528144836,0.049999505281448364,0.1992648858492717,0.019653894007205963,0.0376896858215332,,,,,,,,,0.515784502029419,3970.6505176907926
300,1772764736.0275288,6.558810710906982,6.318531513214111,0.0,0.24027898907661438,0.0,,,554.7577395939201,9.115714079814637,,,0.0078125,0,8.117633819580078,0,3.8210535049438477,0.0652579739689827,,,,,,,,,,,,,,,,0.04999801814556122,0.004999801814556122,0.004999801814556122,0.04999801814556122,0.2117467529176952,0.024813218042254448,0.030035102739930153,,,,,,,,,0.5314164161682129,3853.8515892435894
400,1772764788.7213924,6.408827781677246,6.1151509284973145,0.0,0.2936767637729645,0.0,,,452.66436216770967,8.822297918830616,,,0.0078125,0,8.117440223693848,0,3.8199219703674316,0.06565646827220917,,,,,,,,,,,,,,,,0.0499955415725708,0.00499955415725708,0.00499955415725708,0.0499955415725708,0.48640688010554367,0.02451561577618122,0.055806901305913925,,,,,,,,,0.5314152240753174,3853.8602343649404
500,1772764841.496205,6.533376693725586,6.1525421142578125,0.0,0.3808344602584839,0.0,,,469.9104357251137,8.876241997100244,,,0.0078125,0,8.221653938293457,0,3.8176016807556152,0.0663328692317009,,,,,,,,,,,,,,,,0.049992072582244876,0.004999207258224487,0.004999207258224487,0.049992072582244876,0.3018064572559078,0.02453283593058586,0.02116318605840206,,,,,,,,,0.5314157009124756,3853.8567763117458
600,1772764894.3887982,6.3511643409729,5.825608730316162,0.0,0.5255556702613831,0.0,,,338.8673491351526,8.404576825386577,,,0.0078125,0,8.370857238769531,0,3.8142075538635254,0.06718331575393677,,,,,,,,,,,,,,,,0.049987614154815674,0.0049987614154815676,0.0049987614154815676,0.049987614154815674,0.5567915493108806,0.02593432180583477,0.009781013242900372,,,,,,,,,0.5314154624938965,3853.8585053375673
700,1772764947.335251,6.467906475067139,5.864408493041992,0.0,0.6034979224205017,0.0,,,352.27372211095445,8.4605530506588,,,0.0078125,0,8.078788757324219,0,3.8134899139404297,0.06681168079376221,,,,,,,,,,,,,,,,0.04998216480016709,0.0049982164800167084,0.0049982164800167084,0.04998216480016709,0.8782292511945631,0.028015969321131706,0.04901503026485443,,,,,,,,,0.5314161777496338,3853.8533182647566
800,1772765000.4171956,6.664913177490234,5.914745330810547,0.0,0.750167727470398,0.0,,,370.4599459558062,8.533173756881528,,,0.0078125,0,8.459110260009766,0,3.810163974761963,0.06763841211795807,,,,,,,,,,,,,,,,0.049975726008415225,0.004997572600841522,0.004997572600841522,0.049975726008415225,0.3727016100503909,0.026921676471829414,0.0048020631074905396,,,,,,,,,0.5282158851623535,3877.2025937283624
900,1772765053.5823078,6.909425258636475,5.94284725189209,0.0,0.9665778875350952,0.0,,,381.0182414842813,8.573716259065323,,,0.0078125,0,8.454254150390625,0,3.8054239749908447,0.06898079067468643,,,,,,,,,,,,,,,,0.04996829777956009,0.004996829777956009,0.004996829777956009,0.04996829777956009,0.8691400431586459,0.03046635165810585,0.03753535449504852,,,,,,,,,0.5314152240753174,3853.8602343649404
1000,1772765106.79307,6.703388690948486,5.7571916580200195,0.0,0.946196973323822,0.0,6.789728634357452,5.703831849098205,316.4583565417845,8.305871854472791,300.0147705078125,8.228889922758507,0.0078125,0,7.783413410186768,0,3.8096439838409424,0.0673154890537262,,,,,,,,,,,,,,,,0.04995987862348557,0.004995987862348557,0.004995987862348557,0.04995987862348557,0.3625486398402549,0.023953761905431747,0.0028983866795897484,,,,,,,,,0.5314161777496338,3853.8533182647566
