step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_a0,alpha_b0,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1772246637.3492985,7.608834743499756,7.271867275238037,0.0,0.33696767687797546,0.0,,,1439.2353941076012,10.491086855988655,,,0.015625,0,0.3439241945743561,0,3.140594005584717,0.09127826243638992,,,,,,,,,,,,,,,,0.05,0.005,0.005,0.05,0.17558163378208533,0.031625621020793915,0.007200134918093681,,,,,,,,,0.35948729515075684,2848.5012233062894
200,1772246673.3453543,6.9104509353637695,6.603734970092773,0.0,0.3067162036895752,0.0,,,737.8458814680533,9.527175692697872,,,0.015625,0,0.39890187978744507,0,3.1401712894439697,0.09236400574445724,,,,,,,,,,,,,,,,0.0499998763203621,0.004999987632036209,0.004999987632036209,0.0499998763203621,0.3358120460354871,0.044958945363759995,0.007754192687571049,,,,,,,,,0.35948705673217773,2848.50311248589
300,1772246709.5046568,6.986486434936523,6.702541828155518,0.0,0.2839447259902954,0.0,,,814.4734478251801,9.669723856830812,,,0.015625,0,0.6292703747749329,0,3.1391921043395996,0.09374114871025085,,,,,,,,,,,,,,,,0.049999505281448364,0.004999950528144836,0.004999950528144836,0.049999505281448364,0.6396580431883949,0.04359085485339165,0.001542015466839075,,,,,,,,,0.35948681831359863,2848.5050016679966
400,1772246745.695126,6.621187210083008,6.371002197265625,0.0,0.2501849830150604,0.0,,,584.6434634620416,9.191413275487808,,,0.015625,0,0.8592309355735779,0,3.137026786804199,0.09602423012256622,,,,,,,,,,,,,,,,0.04999888688325882,0.0049998886883258825,0.0049998886883258825,0.04999888688325882,0.37153747029603534,0.04588570445775986,0.001477119280025363,,,,,,,,,0.35948681831359863,2848.5050016679966
500,1772246781.9473517,6.760156631469727,6.490006446838379,0.0,0.27015018463134766,0.0,,,658.5276086225966,9.36310011619113,,,0.015625,0,1.0911715030670166,0,3.1333086490631104,0.09853290021419525,,,,,,,,,,,,,,,,0.049998022615909576,0.0049998022615909575,0.0049998022615909575,0.049998022615909576,0.938130819859078,0.049140751361846924,0.00032089228625409305,,,,,,,,,0.35948824882507324,2848.493666612946
600,1772246818.2191434,6.896729469299316,6.623740196228027,0.0,0.2729891836643219,0.0,,,752.7552909976149,9.556037133235066,,,0.015625,0,1.3197935819625854,0,3.1307930946350098,0.10064337402582169,,,,,,,,,,,,,,,,0.0499969094991684,0.00499969094991684,0.00499969094991684,0.0499969094991684,0.7254685940657423,0.04655728489160538,0.0027605313807725906,,,,,,,,,0.35948657989501953,2848.5068908526086
700,1772246854.537344,6.947457313537598,6.643146991729736,0.0,0.30431026220321655,0.0,,,767.5065331937909,9.584035220864926,,,0.015625,0,1.731016755104065,0,3.122467279434204,0.10415828227996826,,,,,,,,,,,,,,,,0.04999555051326752,0.004999555051326752,0.004999555051326752,0.04999555051326752,0.4405924400070676,0.04178209602832794,0.0011741106864064932,,,,,,,,,0.35948705673217773,2848.50311248589
800,1772246890.9293153,6.4996657371521,6.2386794090271,0.0,0.2609862685203552,0.0,,,512.1816816286076,9.000511845099485,,,0.015625,0,2.011920690536499,0,3.115034580230713,0.1083197146654129,,,,,,,,,,,,,,,,0.049993942677974704,0.00499939426779747,0.00499939426779747,0.049993942677974704,0.49879561810584067,0.04602306708693504,0.01078452356159687,,,,,,,,,0.35948753356933594,2848.4993341291947
900,1772246927.3206954,6.516774654388428,6.262276649475098,0.0,0.2544979751110077,0.0,,,524.4114832195909,9.034555466872478,,,0.015625,0,2.4239697456359863,0,3.10829496383667,0.11174154281616211,,,,,,,,,,,,,,,,0.04999208897352219,0.004999208897352218,0.004999208897352218,0.04999208897352219,0.5948528198934533,0.04620450362563133,7.736781117273495e-05,,,,,,,,,0.35948801040649414,2848.4955557825233
1000,1772246964.5563967,6.442127227783203,6.170718193054199,0.0,0.2714090049266815,0.0,6.395535686016083,6.125008208751678,478.5296593832964,8.902464535842599,457.1484069824219,8.836518968170239,0.015625,0,2.7903921604156494,0,3.096527338027954,0.11670435220003128,,,,,,,,,,,,,,,,0.04998998790979386,0.0049989987909793854,0.0049989987909793854,0.04998998790979386,0.6113047648065886,0.04409502446651459,0.0001506764383520931,,,,,,,,,0.35948657989501953,2848.5068908526086
