step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_a0,alpha_b0,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1773204295.142146,7.052717208862305,6.834236145019531,0.0,0.21131043136119843,0.0,,,929.1183679053313,9.859718594683784,,,0.0078125,0,7.519524574279785,0,3.788538694381714,0.07963570952415466,,,,,,,,,,,,,,,,0.05,0.005,0.005,0.05,0.2135141209825442,0.024561354890465736,8.13452061265707e-09,,,,,,,,,0.5314161777496338,3853.8533182647566
200,1773204348.109319,6.548700332641602,6.320638656616211,0.0,0.21675892174243927,0.0,,,555.9279261471323,9.118754045151288,,,0.0078125,0,8.323291778564453,0,3.7719759941101074,0.08412136882543564,,,,,,,,,,,,,,,,0.049999655783176424,0.004999965578317642,0.004999965578317642,0.049999655783176424,0.22433946446608208,0.029728608205914497,4.6566128730773926e-09,,,,,,,,,0.5314168930053711,3853.8481312059093
300,1773204401.2567449,6.641058921813965,6.395070552825928,0.0,0.2292138636112213,0.0,,,598.8855748021222,9.226136572697008,,,0.0078125,0,8.487838745117188,0,3.7688279151916504,0.08539017289876938,,,,,,,,,,,,,,,,0.04999862462282181,0.004999862462282181,0.004999862462282181,0.04999862462282181,0.3190957241446262,0.03274163976311684,6.984919309616089e-10,,,,,,,,,0.5314164161682129,3853.8515892435894
400,1773204454.4491665,6.661233901977539,6.397521018981934,0.0,0.24134354293346405,0.0,,,600.3549231934871,9.229671848068143,,,0.0078125,0,8.378660202026367,0,3.7688913345336914,0.0847790390253067,,,,,,,,,,,,,,,,0.04999690502882004,0.004999690502882004,0.004999690502882004,0.04999690502882004,1.1383365459854808,0.05661167576909065,1.682201400399208e-08,,,,,,,,,0.5314157009124756,3853.8567763117458
500,1773204507.700607,6.733102798461914,6.42748498916626,0.0,0.27619263529777527,0.0,,,618.6161635581659,9.272900719258416,,,0.0078125,0,8.439160346984863,0,3.7697792053222656,0.0849388986825943,,,,,,,,,,,,,,,,0.04999449849128723,0.0049994498491287235,0.0049994498491287235,0.04999449849128723,0.6229257621826774,0.03740665316581726,8.614733815193176e-09,,,,,,,,,0.5314157009124756,3853.8567763117458
600,1773204561.020262,6.259821891784668,5.92184591293335,0.0,0.30190208554267883,0.0,,,373.0997883427572,8.54341773149752,,,0.0078125,0,8.779297828674316,0,3.7598514556884766,0.08794443309307098,,,,,,,,,,,,,,,,0.049991405010223394,0.004999140501022339,0.004999140501022339,0.049991405010223394,0.4712834746667804,0.041743203997612,9.313225746154785e-10,,,,,,,,,0.5314154624938965,3853.8585053375673
700,1773204614.3803444,6.244576930999756,5.899755001068115,0.0,0.3039171099662781,0.0,,,364.9480450303007,8.511547282500832,,,0.0078125,0,8.452559471130371,0,3.7672080993652344,0.08397776633501053,,,,,,,,,,,,,,,,0.04998762309551239,0.004998762309551239,0.004998762309551239,0.04998762309551239,0.6918849729356829,0.03863225132226944,1.0797521099448204e-08,,,,,,,,,0.5314161777496338,3853.8533182647566
800,1773204667.7795928,6.3328633308410645,5.936118125915527,0.0,0.3507899343967438,0.0,,,378.462928890423,8.564008182389419,,,0.0078125,0,8.747105598449707,0,3.7629737854003906,0.08498309552669525,,,,,,,,,,,,,,,,0.04998315423727036,0.004998315423727036,0.004998315423727036,0.04998315423727036,0.38991070516791765,0.03786563500761986,4.423782229423523e-09,,,,,,,,,0.5352129936218262,3826.5139755689256
900,1773204721.188682,6.335501194000244,5.901741027832031,0.0,0.3821186125278473,0.0,,,365.67356182458377,8.514412513464206,,,0.0078125,0,8.90050220489502,0,3.7537660598754883,0.08845546841621399,,,,,,,,,,,,,,,,0.049977996945381166,0.004997799694538117,0.004997799694538117,0.049977996945381166,0.45753640631872383,0.045255038887262344,5.398760549724102e-09,,,,,,,,,0.5315732955932617,3852.714229585841
1000,1773204774.618039,6.177241325378418,5.720747947692871,0.0,0.3997315764427185,0.0,6.184332439899444,5.782900350093842,305.1330611976791,8.25329469431222,324.6995544433594,8.342961657035437,0.0078125,0,8.809369087219238,0,3.7533586025238037,0.08799594640731812,,,,,,,,,,,,,,,,0.04997215420007706,0.004997215420007706,0.004997215420007706,0.04997215420007706,0.43748098145335923,0.03887764737010002,1.0797521099448204e-08,,,,,,,,,0.532649040222168,3844.933239991907
1100,1773204890.6793835,6.557825565338135,6.073121070861816,0.0,0.42387107014656067,0.0,,,434.0332182256441,8.761661651650615,,,0.0078125,0,8.646658897399902,0,3.7615597248077393,0.08415839076042175,,,,,,,,,,,,,,,,0.04996562451124192,0.004996562451124191,0.004996562451124191,0.04996562451124192,1.0676923094393167,0.04216534271836281,3.128661774098873e-09,,,,,,,,,0.537081241607666,3813.2033691395413
