step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
1000,1773363304.8428335,7.608755111694336,7.608755111694336,0,0,0,,,2015.7671301767311,10.97711326697997,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029758134484291073,0.3750459906651068,0.0,0.004198036059310362,,,,,,,,,,,0.015630722045898438,524096.0702867602
2000,1773363317.6718547,7.204634189605713,7.204634189605713,0,0,0,,,1345.6523453789077,10.394090016763238,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002886577248573303,0.7244432299188052,0.0,0.17745204614606033,,,,,,,,,,,0.03126025199890137,262058.02820424817
3000,1773363330.5389926,6.844707012176514,6.844707012176514,0,0,0,,,938.8981549807008,9.87482486280497,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002735515236854553,0.39874347466442495,0.0,0.18236622489275048,,,,,,,,,,,0.01562976837158203,524128.0488132284
4000,1773363343.3224425,6.579150199890137,6.579150199890137,0,0,0,,,719.9272749467434,9.491707366645134,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.000252936315536499,0.3704448164945198,0.0,0.16890315552163226,,,,,,,,,,,0.03126335144042969,262032.04783112684
5000,1773363356.1561897,6.510932922363281,6.510932922363281,0,0,0,6.499114258289337,6.499114258289337,672.453471931337,9.393290638654193,664.5526123046875,9.376239910604781,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00022773131132125852,0.6320474573659612,0.0,0.23205127938728787,,,,,,,,,,,0.03125882148742676,262070.0208833871
6000,1773363388.4620528,6.420110702514648,6.420110702514648,0,0,0,,,614.0710895767446,9.262261872476042,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00019906034767627715,0.6056575477252502,0.0,0.33785854652455066,,,,,,,,,,,0.031259775161743164,262062.02564200346
7000,1773363401.3604622,6.418820381164551,6.418820381164551,0,0,0,,,613.2792515120293,9.260400332263103,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00016820184253156184,0.7708864100795803,0.0,0.37883390473596706,,,,,,,,,,,0.01562976837158203,524128.0488132284
8000,1773363414.313358,6.354575157165527,6.354575157165527,0,0,0,,,575.1179540084371,9.167714066198911,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00013653174117207525,0.7265133105208053,0.0,0.3673839999694061,,,,,,,,,,,0.03126025199890137,262058.02820424817
9000,1773363427.20436,6.398343086242676,6.398343086242676,0,0,0,,,600.848658234571,9.230857840428493,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00010546217411756515,0.6004642903389723,0.0,0.3500684193150433,,,,,,,,,,,0.015630483627319336,524104.0645525405
10000,1773363440.093813,6.357420921325684,6.357420921325684,0,0,0,6.3092357802391055,6.3092357802391055,576.7569350404668,9.17181963604031,549.6246337890625,9.102303171950167,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,7.637849003076552e-05,0.5459507619138936,0.0,0.34787119473065575,,,,,,,,,,,0.015630006790161133,524120.0538157634
11000,1773363471.6178007,6.367541313171387,6.367541313171387,0,0,0,,,582.623577510262,9.186420275167958,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,5.057749450206756e-05,0.7392459946401557,0.0,0.391276897358852,,,,,,,,,,,0.02179884910583496,375799.6562216316
12000,1773363484.5603466,6.337686061859131,6.337686061859131,0,0,0,,,565.4862960103713,9.143348252155272,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,2.9999999999999997e-05,0.5064394220694736,0.0,0.24819044157708017,,,,,,,,,,,0.01801156997680664,454818.7643025441
13000,1773363497.444272,6.2873992919921875,6.2873992919921875,0,0,0,,,537.7529704555023,9.07079977864591,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,2.9999999999999997e-05,0.5512384727469329,0.0,0.3236564719474048,,,,,,,,,,,0.031259775161743164,262062.02564200346
14000,1773363510.2284143,6.423720836639404,6.423720836639404,0,0,0,,,616.2919750073129,9.267470195074772,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,2.9999999999999997e-05,0.6792295797875728,0.0,0.3692411003886101,,,,,,,,,,,0.015630245208740234,524112.05906220444
15000,1773363522.9920263,6.299721717834473,6.299721717834473,0,0,0,6.282408590316773,6.282408590316773,544.4203865596247,9.088577281300296,535.075927734375,9.06359971808823,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,2.9999999999999997e-05,0.60847067029131,0.0,0.3330669031989645,,,,,,,,,,,0.015629291534423828,524144.0395399213
