step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1773678933.7573986,9.268590927124023,9.268590927124023,0,0,0,,,10599.805460238165,13.37175016659027,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0003,0.8908314904113811,0.0,0.0,,,,,,,,,,,0.031259775161743164,262062.02564200346
200,1773678935.2233884,7.613949775695801,7.613949775695801,0,0,0,,,2026.2656075463947,10.984607582973968,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029996666014194483,0.4560050204398034,0.0,0.0,,,,,,,,,,,0.0213165283203125,384302.7287043665
300,1773678936.6925933,7.284775733947754,7.284775733947754,0,0,0,,,1457.9341310587465,10.509709825354683,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002998666495084762,0.2891624992586601,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
400,1773678938.1679862,6.993326187133789,6.993326187133789,0,0,0,,,1089.338801606496,10.089237009496841,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002997000217437744,0.3169400772162067,0.0,0.0,,,,,,,,,,,0.015630483627319336,524104.0645525405
500,1773678939.6528242,6.893550872802734,6.893550872802734,0,0,0,,,985.8960004304249,9.94529165830829,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029946684837341305,0.35756008783676424,0.0,0.0,,,,,,,,,,,0.015630245208740234,524112.05906220444
600,1773678941.1689246,6.673499584197998,6.673499584197998,0,0,0,,,791.1594946742354,9.627824755497011,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029916722774505613,0.38244209349415775,0.0,0.0,,,,,,,,,,,0.01563096046447754,524088.0762648526
700,1773678942.6537633,6.557182312011719,6.557182312011719,0,0,0,,,704.2844423682001,9.460014403744134,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002988012939691543,0.38712550934992207,0.0,0.0,,,,,,,,,,,0.01562976837158203,524128.0488132284
800,1773678944.1542323,6.38632869720459,6.38632869720459,0,0,0,,,593.6730204674644,9.213524740943937,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002983692169189453,0.40146241684684714,0.0,0.0,,,,,,,,,,,0.015630245208740234,524112.05906220444
900,1773678945.670332,6.29136323928833,6.29136323928833,0,0,0,,,539.8888253000486,9.0765185457524,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029787118434906,0.4201681638214017,0.0,0.0,,,,,,,,,,,0.03126072883605957,262054.03088844314
1000,1773678947.188012,6.286673545837402,6.286673545837402,0,0,0,6.232898244857788,6.232898244857788,537.3628398899726,9.069752748267456,509.2292175292969,8.992171388221855,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029730741083621977,0.4654154639092811,0.0,0.0,,,,,,,,,,,0.03125953674316406,262064.0244066142
