step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1773681548.1473339,9.199901580810547,9.199901580810547,0,0,0,,,9896.155039255931,13.272652387301912,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0003,0.8960540957357058,0.0,0.12841278231173275,,,,,,,,,,,0.01563572883605957,523928.24702276575
200,1773681549.6477962,7.618057727813721,7.618057727813721,0,0,0,,,2034.6065299657353,10.9905341051227,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029996666014194483,0.38557022362696003,0.0,0.090363024347979,,,,,,,,,,,0.01562976837158203,524128.0488132284
300,1773681551.1504867,7.218778610229492,7.218778610229492,0,0,0,,,1364.8210637925308,10.414496102253413,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002998666495084762,0.29887960930022933,0.0,0.09810168489400323,,,,,,,,,,,0.015630006790161133,524120.0538157634
400,1773681552.6665869,6.947323322296143,6.947323322296143,0,0,0,,,1040.3612861063018,10.022868904528883,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002997000217437744,0.3096026452662514,0.0,0.08826613307433948,,,,,,,,,,,0.03126025199890137,262058.02820424817
500,1773681554.1670556,6.728133201599121,6.728133201599121,0,0,0,,,835.5859385719169,9.706644404387436,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029946684837341305,0.36081105765228666,0.0,0.11339638077490946,,,,,,,,,,,0.03125929832458496,262066.0232017146
600,1773681555.6675246,6.597041130065918,6.597041130065918,0,0,0,,,732.9233528630375,9.517518522886624,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029916722774505613,0.37177536565347763,0.0,0.10947788152886921,,,,,,,,,,,0.01562976837158203,524128.0488132284
700,1773681557.1679933,6.5682806968688965,6.5682806968688965,0,0,0,,,712.1443978857284,9.476025988539462,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002988012939691543,0.3619903535358833,0.0,0.10548000639023156,,,,,,,,,,,0.01562976837158203,524128.0488132284
800,1773681558.675029,6.439645290374756,6.439645290374756,0,0,0,,,626.1846466925315,9.290444325507629,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002983692169189453,0.4091852149486551,0.0,0.12988452363034164,,,,,,,,,,,0.015630245208740234,524112.05906220444
900,1773681560.182198,6.514244556427002,6.514244556427002,0,0,0,,,674.684083200806,9.398068316695161,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029787118434906,0.42103752852303483,0.0,0.13423460047854258,,,,,,,,,,,0.015630722045898438,524096.0702867602
1000,1773681561.6890783,6.289252281188965,6.289252281188965,0,0,0,6.24641716003418,6.24641716003418,538.7503446767404,9.07347307697092,516.16015625,9.011675060105034,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029730741083621977,0.4163563002511414,0.0,0.12649520709513798,,,,,,,,,,,0.031258583068847656,262072.01976996064
