step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
100,1773680764.6836922,10.676960945129395,10.676960945129395,0,0,0,,,43345.62026387423,15.403598607303318,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0003,0.42288227322699184,0.0,0.20289338397754036,,,,,,,,,,,0.03146862983703613,260322.74180424126
200,1773680766.8997593,10.266098022460938,10.266098022460938,0,0,0,,,28741.51931783183,14.81084870628439,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029996666014194483,0.39124146193232967,0.0,0.13508676813092643,,,,,,,,,,,0.03125905990600586,262068.02202730533
300,1773680769.110694,9.819524765014648,9.819524765014648,0,0,0,,,18389.309420952013,14.166579682372998,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002998666495084762,0.4674892725166525,0.0,0.10011567933934523,,,,,,,,,,,0.03125929832458496,262066.0232017146
400,1773680771.3250973,9.414217948913574,9.414217948913574,0,0,0,,,12261.480354697327,13.581845548745482,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002997000217437744,0.5455158707801199,0.0,0.0985312962423943,,,,,,,,,,,0.03126025199890137,262058.02820424817
500,1773680773.5289092,8.977417945861816,8.977417945861816,0,0,0,,,7922.150263385669,12.951676350482428,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029946684837341305,0.6045292760436014,0.0,0.06291204357811966,,,,,,,,,,,0.031260013580322266,262060.0269078817
600,1773680775.7483542,8.575691223144531,8.575691223144531,0,0,0,,,5301.21449423222,12.372107199825624,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029916722774505613,0.6418275083995693,0.0,0.0665782959595969,,,,,,,,,,,0.0468904972076416,174704.90798431914
700,1773680777.9521682,8.243349075317383,8.243349075317383,0,0,0,,,3802.2530401468744,11.892638831277011,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002988012939691543,0.6244912675735785,0.0,0.08196568925274011,,,,,,,,,,,0.03126025199890137,262058.02820424817
800,1773680780.1626945,7.9575700759887695,7.9575700759887695,0,0,0,,,2857.121921528002,11.48034688615541,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002983692169189453,0.5807572376353709,0.0,0.07328594489234509,,,,,,,,,,,0.03125929832458496,262066.0232017146
900,1773680782.372278,7.72486686706543,7.72486686706543,0,0,0,,,2263.9511609354804,11.14462712064276,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029787118434906,0.5265058770538175,0.0,0.057958400349864596,,,,,,,,,,,0.0468897819519043,174707.5729292724
1000,1773680784.576091,7.556661605834961,7.556661605834961,0,0,0,7.472410771846771,7.472410771846771,1913.4469986386184,10.901958224414129,1758.841552734375,10.780409964028609,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029730741083621977,0.4407443359407543,0.0,0.06083141691155344,,,,,,,,,,,0.03125929832458496,262066.0232017146
