step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_coupling,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,alpha_mean,alpha_std,alpha_min,alpha_max,alpha_c0,alpha_b0,alpha_c0_std,alpha_b0_std,alpha_mahal_sq_mean,alpha_mahal_sq_std,step_time,tokens_per_sec
1000,1773360835.1474578,5.932961940765381,5.932961940765381,0,0,0,,,377.2703128628967,8.559454769725175,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029996643662452693,1.354598359618871,0.0,0.44966112224508054,,,,,,,,,,,0.046890974044799805,43675.782849879244
2000,1773360859.864253,5.304279327392578,5.304279327392578,0,0,0,,,201.19595374108616,7.652457481119119,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002995889961719513,1.2465577003710722,0.0,0.4029559324375099,,,,,,,,,,,0.037427425384521484,54719.23272731905
3000,1773360884.7111158,4.797066688537598,4.797066688537598,0,0,0,,,121.15451186448715,6.920704322366834,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002987932205200195,1.1587822131060848,0.0,0.36956101774400074,,,,,,,,,,,0.04187464714050293,48907.874808551824
4000,1773360909.368292,5.135158538818359,5.135158538818359,0,0,0,,,169.89125209808242,7.408467758131863,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029758134484291073,1.148415642542777,0.0,0.36627457855650697,,,,,,,,,,,0.03754854202270508,54542.7302812877
5000,1773360934.0399957,5.140213966369629,5.140213966369629,0,0,0,4.620506951808929,4.620506951808929,170.75229966260886,7.415761198389653,101.54547882080078,6.665982465767723,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00029595673978328703,1.1598266534687722,0.0,0.36329995995479986,,,,,,,,,,,0.03677773475646973,55685.8657435319
6000,1773360992.5842795,4.771766662597656,4.771766662597656,0,0,0,,,118.12774960208122,6.884204100408918,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.000293923956155777,1.1313410462804048,0.0,0.3535959794671849,,,,,,,,,,,0.04778790473937988,42856.0325289243
7000,1773361017.3818188,4.799954891204834,4.799954891204834,0,0,0,,,121.50493645382353,6.924871118031938,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002914886802434921,1.0899917246556796,0.0,0.33759306593891614,,,,,,,,,,,0.03615689277648926,56642.035383408176
8000,1773361042.2304416,4.463311195373535,4.463311195373535,0,0,0,,,86.77436078522318,6.439196927509591,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002886577248573303,1.049545934383598,0.0,0.3291934709358818,,,,,,,,,,,0.03332090377807617,61462.91870232831
9000,1773361067.304246,4.625153064727783,4.625153064727783,0,0,0,,,102.01838730435753,6.672685389835164,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.0002854390025138855,1.0266167710971728,0.0,0.3183976789363843,,,,,,,,,,,0.03126811981201172,65498.02202092293
10000,1773361092.1061876,4.451193809509277,4.451193809509277,0,0,0,4.277354449033737,4.277354449033737,85.7292273034419,6.4217152350146876,72.049560546875,6.170918051745317,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0.00028184151649475095,1.0609388925840273,0.0,0.33505799546111925,,,,,,,,,,,0.03126025199890137,65514.50705106204
