step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1770517308.2560275,20.840383529663086,7.684757232666016,12.724982261657715,0.43064364790916443,0.0,,,2174.9419046624193,11.086761150002856,,,0.015625005587935448,0,2.562464714050293,0,3.1235909461975098,0.1055765226483345,,,,,,,,,,,,,,,,0.025,0,0.00125,0.025,4.2880154300923055,1.6117805242538452,3.725290298461914e-09,0.3438589572906494,2977.9651752228638
100,1770517325.766342,8.02306842803955,7.091680526733398,0.8650502562522888,0.06633754074573517,0.0,,,1201.9259730687932,10.231132327487106,,,0.015625005587935448,0,0.1235753744840622,0,3.140580177307129,0.09033060073852539,,,,,,,,,,,,,,,,0.05,0,0.0025,0.05,0.9786364597592683,0.09341908991336823,2.2351741790771484e-08,0.3438577651977539,2977.975499291382
150,1770517343.272002,8.050007820129395,6.835539817810059,1.1381096839904785,0.07635790854692459,0.0,,,930.3304241314461,9.86159939695362,,,0.015625005587935448,0,0.16765068471431732,0,3.1399688720703125,0.09075939655303955,,,,,,,,,,,,,,,,0.04999998658895493,0,0.002499999329447746,0.04999998658895493,0.5271559335187488,0.08474820107221603,1.1175870895385742e-08,0.35948681831359863,2848.5050016679966
200,1770517360.7671192,8.369318008422852,6.852017402648926,1.4175031185150146,0.09979710727930069,0.0,,,945.7870165620641,9.88537152688648,,,0.015625005587935448,0,0.21579457819461823,0,3.139089345932007,0.09119564294815063,,,,,,,,,,,,,,,,0.04999994486570358,0,0.0024999972432851792,0.04999994486570358,1.2008025873433683,0.08372578024864197,0.0,0.35948753356933594,2848.4993341291947
250,1770517378.25549,7.903227806091309,6.614363670349121,1.1809313297271729,0.1079331710934639,0.0,,,745.7300491830156,9.5425096658488,,,0.015625005587935448,0,0.1807016134262085,0,3.139312982559204,0.09084367007017136,,,,,,,,,,,,,,,,0.0499998763203621,0,0.0024999938160181045,0.0499998763203621,0.3871336349424095,0.09287016093730927,1.257285475730896e-08,0.3438575267791748,2977.9775641136757
300,1770517395.804334,8.23948860168457,6.704498767852783,1.4031461477279663,0.13184385001659393,0.0,,,816.0688838244602,9.672547124027377,,,0.015625005587935448,0,0.20267429947853088,0,3.138906955718994,0.09154503047466278,,,,,,,,,,,,,,,,0.04999978095293045,0,0.0024999890476465228,0.04999978095293045,1.5110609779947308,0.09203318506479263,3.725290298461914e-09,0.35948777198791504,2848.497444954606
350,1770517413.3179605,8.237051010131836,6.487064361572266,1.5837435722351074,0.1662428230047226,0.0,,,656.5930115182251,9.358855584367838,,,0.015625005587935448,0,0.24742116034030914,0,3.138340950012207,0.09151588380336761,,,,,,,,,,,,,,,,0.049999657273292544,0,0.002499982863664627,0.049999657273292544,1.1357465560824687,0.09794335812330246,1.1175870895385742e-08,0.343858003616333,2977.973434471952
400,1770517430.865183,8.25243854522705,6.671756267547607,1.4022021293640137,0.17847993969917297,0.0,,,789.7814546830921,9.625309681210794,,,0.015625005587935448,0,0.22785742580890656,0,3.138302803039551,0.09134335070848465,,,,,,,,,,,,,,,,0.049999505281448364,0,0.002499975264072418,0.049999505281448364,1.4476626991386394,0.10067447274923325,4.6566128730773926e-09,0.35948705673217773,2848.50311248589
450,1770517448.4527428,8.344183921813965,6.521244049072266,1.6360186338424683,0.1869211047887802,0.0,,,679.4230954716683,9.408166450023222,,,0.015625005587935448,0,0.24969930946826935,0,3.1368541717529297,0.09181494265794754,,,,,,,,,,,,,,,,0.04999932795763016,0,0.002499966397881508,0.04999932795763016,1.091911558567565,0.09456316381692886,9.313225746154785e-10,0.35948729515075684,2848.5012233062894
500,1770517466.0456758,8.009443283081055,6.253450393676758,1.560490369796753,0.19550181925296783,0.0,7.456922340393066,6.226789855957032,519.8032599199997,9.021821871402596,506.128173828125,8.983358845846913,0.015625005587935448,0,0.25135818123817444,0,3.1374192237854004,0.09162938594818115,,,,,,,,,,,,,,,,0.04999912232160569,0,0.002499956116080284,0.04999912232160569,0.40812312777825294,0.09583968669176102,2.2118911147117615e-09,0.34882640838623047,2935.5575592378837
