step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1770479561.9406233,8.7662992477417,7.748907089233398,0.7145206928253174,0.3028714656829834,0.0,,,2319.036529124375,11.179309829946357,,,0.015625005587935448,0,0.06176302954554558,0,3.140409231185913,0.09064289182424545,,,,,,,,,,,,,,,,0.025,0,0.00125,0.025,0.7738190856496576,0.4731556177139282,0.0023654289543892705,0.5120725631713867,2999.5748854169965
100,1770479585.8362346,7.80484676361084,7.518197536468506,0.1666741967201233,0.11997521668672562,0.0,,,1841.2455233589717,10.846466302286736,,,0.015625005587935448,0,0.012800953350961208,0,3.140720844268799,0.08984397351741791,,,,,,,,,,,,,,,,0.05,0,0.0025,0.05,1.2235600419805552,0.05203095078468323,0.0008686709918216101,0.4845263957977295,3170.1059288444194
150,1770479609.600655,7.386741638183594,6.921230316162109,0.3225283920764923,0.1429830640554428,0.0,,,1013.5662346629034,9.985224653977427,,,0.015625005587935448,0,0.024900946766138077,0,3.1403512954711914,0.09028981626033783,,,,,,,,,,,,,,,,0.049999937415122986,0,0.0024999968707561495,0.049999937415122986,0.4584988358703845,0.04334789142012596,0.0001490246504574313,0.46889638900756836,3275.776986150362
200,1770479633.3965714,7.1184306144714355,6.668200969696045,0.2709200382232666,0.17930921912193298,0.0,,,786.9785319391029,9.62018047063146,,,0.015625005587935448,0,0.022418005391955376,0,3.1404035091400146,0.09011134505271912,,,,,,,,,,,,,,,,0.04999974817037583,0,0.0024999874085187912,0.04999974817037583,0.5584444143572384,0.0494236946105957,0.008014087565243582,0.46889567375183105,3275.781983036481
250,1770479657.2369208,7.095086574554443,6.599157333374023,0.26998743414878845,0.22594188153743744,0.0,,,734.4760099765732,9.52057155890474,,,0.015625005587935448,0,0.02208760380744934,0,3.140596389770508,0.09003974497318268,,,,,,,,,,,,,,,,0.049999432265758516,0,0.002499971613287926,0.049999432265758516,0.7646756212174285,0.0529654361307621,0.010594544932246208,0.4845266342163086,3170.104368946371
300,1770479681.1023772,7.360230445861816,6.526932239532471,0.5102527141571045,0.32304564118385315,0.0,,,683.2987958527239,9.416372774191792,,,0.015625005587935448,0,0.04993472993373871,0,3.1366031169891357,0.09139098972082138,,,,,,,,,,,,,,,,0.04999898970127106,0,0.0024999494850635527,0.04999898970127106,0.7617078087449332,0.05417577922344208,0.00997168105095625,0.46889662742614746,3275.7753205250433
350,1770479704.9788601,7.349685192108154,6.619449138641357,0.38198527693748474,0.34825068712234497,0.0,,,749.5320951006482,9.549846445734607,,,0.015625005587935448,0,0.029098480939865112,0,3.140239715576172,0.0903969258069992,,,,,,,,,,,,,,,,0.049998421967029576,0,0.0024999210983514784,0.049998421967029576,0.5044298793694488,0.05027814209461212,9.58205201863247e-05,0.46889638900756836,3275.776986150362
400,1770479728.9125636,7.317164421081543,6.499392986297607,0.41145575046539307,0.4063158929347992,0.0,,,664.7380054751983,9.376642030120069,,,0.015625005587935448,0,0.03286934271454811,0,3.13985538482666,0.09053832292556763,,,,,,,,,,,,,,,,0.04999772757291794,0,0.002499886378645897,0.04999772757291794,2.546819417902903,0.07104916870594025,0.021046899259090507,0.4845266342163086,3170.104368946371
450,1770479752.8000755,7.078972816467285,6.176888942718506,0.4768420159816742,0.4252418577671051,0.0,,,481.4916756497348,8.91136704578186,,,0.015625005587935448,0,0.03974870964884758,0,3.1394686698913574,0.09068785607814789,,,,,,,,,,,,,,,,0.04999690651893616,0,0.002499845325946808,0.04999690651893616,0.43999621055931476,0.056507643312215805,0.001332052750521097,0.46889710426330566,3275.7719892794876
500,1770479776.7270522,7.945364475250244,6.636049747467041,0.7228686809539795,0.5864462852478027,0.0,7.134359073638916,6.275533294677734,762.0786361938955,9.573796061763158,531.40966796875,9.053680763165145,0.015625005587935448,0,0.06546459347009659,0,3.1386585235595703,0.09121561050415039,,,,,,,,,,,,,,,,0.04999596029520035,0,0.0024997980147600176,0.04999596029520035,0.7052851603543643,0.060122739523649216,0.0017842107918356535,0.4845261573791504,3170.107488744003
