step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
50,1.0270434930324342e-05,8.503031730651855,7.769744873046875,2367.867104567051,11.209372397317175,,,,0.5043114968528598,0.23532459139823914,0.07624809443950653,0.1770809441804886,0.025,5780.772196808864,0.26570844650268555,0,3.140669584274292,0.08993831276893616
100,2.0540869860648684e-05,7.795772075653076,7.539322376251221,1880.555284392561,10.876943003880832,,,,0.5303782461943699,0.03358890488743782,0.053631462156772614,0.14443691074848175,0.05,5780.792945090798,0.26570749282836914,0,3.140745162963867,0.08965460956096649
150,3.0811304790973026e-05,7.433340549468994,6.852268695831299,946.0247162562085,9.8857340663145,,,,0.4574362205039254,0.02886287309229374,0.09297125041484833,0.20574453473091125,0.0499998763203621,5780.787758006351,0.26570773124694824,0,3.140514850616455,0.09000082314014435
200,4.108173972129737e-05,7.582568645477295,6.8590989112854,952.5083861179453,9.895587984278336,,,,0.4878721615483068,0.030753763392567635,0.09116919338703156,0.2043774574995041,0.049999505281448364,5780.782570931214,0.26570796966552734,0,3.140411138534546,0.0900665745139122
250,5.135217465162171e-05,7.720188617706299,6.702337741851807,814.307241910495,9.669429422532534,,,,0.5016884314619009,0.0316753163933754,0.10997243225574493,0.2498234212398529,0.049998885393142706,5459.625534208405,0.2813379764556885,0,3.139505386352539,0.09045865386724472
300,6.162260958194605e-05,8.198786735534668,6.655250549316406,776.8525385777948,9.601496963372329,,,,0.4170215324944265,0.033393219113349915,0.12862259149551392,0.2949416935443878,0.04999801814556122,5780.787758006351,0.26570773124694824,0,3.138396739959717,0.09107284247875214
350,7.18930445122704e-05,8.023956298828125,6.610982894897461,743.2131602545854,9.53763223787033,,,,0.35730177519073936,0.03597428649663925,0.09168048202991486,0.21792864799499512,0.049996903538703924,5780.803319287616,0.26570701599121094,0,3.137378454208374,0.09106417745351791
400,8.216347944259473e-05,7.832983493804932,6.390541076660156,596.1790710144834,9.219601919894824,,,,0.5772922420912463,0.03826937451958656,0.11389118432998657,0.324326753616333,0.0499955415725708,5459.625534208405,0.2813379764556885,0,3.1383731365203857,0.09108059108257294
450,9.243391437291908e-05,7.6953887939453125,6.366076946258545,581.7710271962986,9.184307640284759,,,,1.2597716741702094,0.04395025968551636,0.11405777186155319,0.28913766145706177,0.04999393075704575,5459.6209074776825,0.2813382148742676,0,3.1384763717651367,0.09104925394058228
500,0.00010270434930324342,7.958636283874512,6.300838947296143,545.0289689548109,9.090189102704182,7.842885303497314,582.1806030273438,9.185322888269333,0.7131088771486109,0.045010894536972046,0.1077178418636322,0.2877661883831024,0.049992072582244876,5459.639414447625,0.28133726119995117,0,3.136676549911499,0.09152016043663025
550,0.00011297478423356777,7.54750394821167,6.069967746734619,432.6667264346789,8.757112366569991,,,,0.4841965700843467,0.044026151299476624,0.11728319525718689,0.3068592846393585,0.04998996704816819,5459.607027332564,0.2813389301300049,0,3.1386001110076904,0.09106406569480896
600,0.0001232452191638921,7.405544757843018,6.193199157714844,489.40930197044935,8.93489771207291,,,,0.37180375231530616,0.04460813105106354,0.08811861276626587,0.21723762154579163,0.049987614154815674,5780.782570931214,0.26570796966552734,0,3.1401164531707764,0.09023374319076538
650,0.00013351565409421646,7.509888648986816,6.047807693481445,423.1842627277022,8.725142167635802,,,,0.3900829149118482,0.04698755219578743,0.10048520565032959,0.2726439833641052,0.04998501390218735,5459.616280754802,0.2813384532928467,0,3.137065887451172,0.0912940502166748
700,0.0001437860890245408,7.7000861167907715,6.2973856925964355,543.15009109532,9.085207109273988,,,,0.6280433361711195,0.0491783544421196,0.08668015897274017,0.2272658497095108,0.04998216480016709,5459.616280754802,0.2813384532928467,0,3.134225845336914,0.09153591841459274
750,0.00015405652395486513,7.9161481857299805,6.390645980834961,596.24161596852,9.219753264627585,,,,0.5066676042063086,0.04862494766712189,0.07921328395605087,0.26773834228515625,0.04997906982898712,5459.6116540397625,0.2813386917114258,0,3.137971878051758,0.09092777222394943
800,0.00016432695888518947,7.7390875816345215,6.273464202880859,530.3113054471506,9.05069569469065,,,,0.37419340028063064,0.05398575961589813,0.09265495836734772,0.23274081945419312,0.049975726008415225,5459.625534208405,0.2813379764556885,0,3.138129711151123,0.09066926687955856
