step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1770643984.9775665,15.738468170166016,7.614687442779541,7.840674877166748,0.2831057906150818,0.0,,,2027.7608684225575,10.985671811617507,,,0.015625005587935448,0,0.9588567018508911,0,3.129051685333252,0.09956042468547821,,,,,,,,,,,,,,,,0.025,0,0.0025,0.025,4.763219801046461,1.6087192296981812,0.011425562251251626,0.1406691074371338,10919.241814955365
100,1770643991.6480722,7.809023857116699,7.2384209632873535,0.5028485059738159,0.0677541121840477,0.0,,,1391.894382378097,10.442834027601378,,,0.015625005587935448,0,0.042753491550683975,0,3.1406378746032715,0.0900975689291954,,,,,,,,,,,,,,,,0.05,0,0.005,0.05,0.27361961662876544,0.05543883517384529,0.00042339457817305897,0.1406688690185547,10919.26032189394
150,1770643998.277399,7.504541397094727,6.733369827270508,0.7197694182395935,0.051402147859334946,0.0,,,839.9730661956575,9.714199258274538,,,0.015625005587935448,0,0.06562740355730057,0,3.140352964401245,0.09025528281927109,,,,,,,,,,,,,,,,0.04999994486570358,0,0.0049999944865703584,0.04999994486570358,0.6380646821145419,0.05222531035542488,0.00029785333548676895,0.12503862380981445,12284.204297835828
200,1770644004.9350286,7.8443922996521,6.747686386108398,1.037450909614563,0.05925527215003967,0.0,,,852.0850843539389,9.734853686712558,,,0.015625005587935448,0,0.08998950570821762,0,3.1398816108703613,0.09082181751728058,,,,,,,,,,,,,,,,0.04999977946281434,0,0.0049999779462814335,0.04999977946281434,0.6219552093175149,0.05384482070803642,0.00014666307217180383,0.12503910064697266,12284.157451968913
250,1770644011.571571,7.679638862609863,6.609941005706787,1.0127723217010498,0.0569259338080883,0.0,,,742.4392177477274,9.53612910950179,,,0.015625005587935448,0,0.09214433282613754,0,3.139861583709717,0.0906236320734024,,,,,,,,,,,,,,,,0.049999505281448364,0,0.004999950528144836,0.049999505281448364,0.4178002768846744,0.057150501757860184,0.00025375160366954255,0.12503910064697266,12284.157451968913
300,1770644018.234592,7.654951095581055,6.575370788574219,1.013582706451416,0.06599755585193634,0.0,,,717.2115088883128,9.486254828682178,,,0.015625005587935448,0,0.09541378170251846,0,3.139726161956787,0.09057210385799408,,,,,,,,,,,,,,,,0.049999120831489566,0,0.004999912083148956,0.049999120831489566,0.40582217395090414,0.0535898432135582,0.00013067735183224454,0.1406688690185547,10919.26032189394
350,1770644024.9074564,7.512548923492432,6.498636722564697,0.9414430260658264,0.07246935367584229,0.0,,,664.2354782752694,9.375550972182996,,,0.015625005587935448,0,0.0938577950000763,0,3.139833450317383,0.09034845232963562,,,,,,,,,,,,,,,,0.04999862611293793,0,0.004999862611293793,0.04999862611293793,0.36770117504129046,0.05407559499144554,0.0013435241839426198,0.14066863059997559,10919.27882889525
400,1770644031.5787015,7.739878177642822,6.502635478973389,1.154518723487854,0.08272398263216019,0.0,,,666.8969118167471,9.381319958223537,,,0.015625005587935448,0,0.10358813405036926,0,3.139106273651123,0.09088274091482162,,,,,,,,,,,,,,,,0.04999802112579346,0,0.004999802112579345,0.04999802112579346,0.3974611263453443,0.05172548443078995,0.0008329672492256404,0.1406688690185547,10919.26032189394
450,1770644038.2705667,7.328900337219238,6.304279804229736,0.9516474604606628,0.07297346740961075,0.0,,,546.9075657996684,9.095153209938687,,,0.015625005587935448,0,0.0891309604048729,0,3.1394362449645996,0.09063702821731567,,,,,,,,,,,,,,,,0.04999730587005616,0,0.004999730587005615,0.04999730587005616,0.4003788210782692,0.0539720319211483,0.0008626819672243562,0.12503838539123535,12284.227720903273
500,1770644044.975501,7.485947608947754,6.426584720611572,0.9748231768608093,0.0845397487282753,0.0,8.37098045349121,6.331597900390625,618.0594934925684,9.2716019062791,562.053955078125,9.134564891796527,0.015625005587935448,0,0.09959151595830917,0,3.1397063732147217,0.0904284119606018,,,,,,,,,,,,,,,,0.049996481835842134,0,0.004999648183584214,0.049996481835842134,1.4704542034578651,0.05940816551446915,0.0001939110528301375,0.12503910064697266,12284.157451968913
550,1770644071.7228234,7.604326248168945,6.42150354385376,1.0949095487594604,0.08791293203830719,0.0,,,614.9269891032106,9.264271317768724,,,0.015625005587935448,0,0.10172923654317856,0,3.1393840312957764,0.0906984806060791,,,,,,,,,,,,,,,,0.049995547533035284,0,0.004999554753303528,0.049995547533035284,0.4711678120516931,0.056162044405937195,0.0008136591373515285,0.12503910064697266,12284.157451968913
600,1770644078.4733255,7.6416916847229,6.385400772094727,1.156324863433838,0.09996585547924042,0.0,,,593.1223918752825,9.21218602798962,,,0.015625005587935448,0,0.10925929993391037,0,3.138514518737793,0.0909811481833458,,,,,,,,,,,,,,,,0.049994502961635594,0,0.004999450296163559,0.049994502961635594,0.4534195933697479,0.06499258428812027,0.00042261485504125804,0.1406691074371338,10919.241814955365
650,1770644085.2223148,8.105879783630371,6.63805627822876,1.343810796737671,0.12401292473077774,0.0,,,763.6093055743054,9.57669087374248,,,0.015625005587935448,0,0.13034945726394653,0,3.138639450073242,0.09086968749761581,,,,,,,,,,,,,,,,0.04999334812164307,0,0.0049993348121643065,0.04999334812164307,0.42310731051846573,0.05592532083392143,0.0008371747230120094,0.1406691074371338,10919.241814955365
700,1770644091.9722104,7.140860080718994,6.076534748077393,0.9657290577888489,0.09859589487314224,0.0,,,435.5173993498609,8.76658654684072,,,0.015625005587935448,0,0.09446840733289719,0,3.1393351554870605,0.09050115197896957,,,,,,,,,,,,,,,,0.049992083013057714,0,0.004999208301305771,0.049992083013057714,0.4043357819084711,0.05334557592868805,3.0633363305289894e-05,0.12503886222839355,12284.180874857708
750,1770644098.7539535,7.733165264129639,6.472850322723389,1.145266056060791,0.11504898220300674,0.0,,,647.3261884571384,9.33834906100956,,,0.015625005587935448,0,0.11543348431587219,0,3.1392369270324707,0.09055453538894653,,,,,,,,,,,,,,,,0.04999070912599564,0,0.004999070912599564,0.04999070912599564,1.3044192311057137,0.062306687235832214,0.003310771717738386,0.13904833793640137,11046.51823096615
800,1770644105.531681,7.503780364990234,6.2005157470703125,1.1769096851348877,0.12635524570941925,0.0,,,493.0032405132678,8.945453319252266,,,0.015625005587935448,0,0.11721423268318176,0,3.1387593746185303,0.09067821502685547,,,,,,,,,,,,,,,,0.04998922497034073,0,0.004998922497034073,0.04998922497034073,0.48264764123798193,0.061314571648836136,0.00012636701316304252,0.12503838539123535,12284.227720903273
