step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1769716170.9471724,18.296524047851562,10.58795166015625,7.573704719543457,0.13486798107624054,0.0,,,39654.18064253276,15.27518535327949,,,0.015625005587935448,0,3.9378209114074707,0,2.488107204437256,0.15230059623718262,,,,,,,,,,,,,,,,0.025,0,0.025,0.025,21.27206881232087,21.26702117919922,2.2053430370760907e-07,0.06251955032348633,131031.01282100173
100,1769716173.463583,16.31169891357422,7.728089332580566,8.109848976135254,0.4737606644630432,0.0,,,2271.2584328720636,11.149276155660882,,,0.015625005587935448,0,3.8715672492980957,0,2.49831223487854,0.15240716934204102,,,,,,,,,,,,,,,,0.05,0,0.05,0.05,16.986564217800154,16.979398727416992,4.010321674741135e-08,0.06251955032348633,131031.01282100173
150,1769716175.9922788,16.2702579498291,7.59462308883667,8.388989448547363,0.2866450846195221,0.0,,,1987.4806066821309,10.956725067685486,,,0.015625005587935448,0,3.749903440475464,0,2.5153417587280273,0.15224725008010864,,,,,,,,,,,,,,,,0.04999799430370331,0,0.04999799430370331,0.04999799430370331,6.277165686462117,6.258908271789551,1.8618299790773563e-08,0.04688262939453125,174734.22685109844
200,1769716178.495279,15.914329528808594,7.491508483886719,8.210714340209961,0.21210622787475586,0.0,,,1792.7543942579982,10.807962138480967,,,0.015625005587935448,0,3.6101856231689453,0,2.5293073654174805,0.15114407241344452,,,,,,,,,,,,,,,,0.04999197721481324,0,0.04999197721481324,0.04999197721481324,8.255250208745588,8.238977432250977,3.7570732729363954e-06,0.04688882827758789,174711.12631568243
250,1769716180.9960597,15.853424072265625,7.493518829345703,8.176546096801758,0.18335941433906555,0.0,,,1796.3620750408754,10.810862453905116,,,0.015625005587935448,0,3.5104761123657227,0,2.547304153442383,0.15070322155952454,,,,,,,,,,,,,,,,0.04998194873332978,0,0.04998194873332978,0.04998194873332978,6.211842178413219,6.189255714416504,1.0582335363551465e-07,0.0468897819519043,174707.5729292724
300,1769716183.51247,15.919389724731445,7.546812534332275,8.211174964904785,0.16140156984329224,0.0,,,1894.6938246029076,10.887749017799845,,,0.015625005587935448,0,3.277778148651123,0,2.5791592597961426,0.14891359210014343,,,,,,,,,,,,,,,,0.04996791332960129,0,0.04996791332960129,0.04996791332960129,4.945096099469001,4.914187908172607,5.293208596413024e-05,0.06251955032348633,131031.01282100173
350,1769716186.0132508,15.90220832824707,7.5119428634643555,8.223967552185059,0.16629748046398163,0.0,,,1829.7650753412815,10.837442716561265,,,0.015625005587935448,0,3.393674612045288,0,2.575033664703369,0.14898794889450073,,,,,,,,,,,,,,,,0.04994986951351166,0,0.04994986951351166,0.04994986951351166,6.106791470841633,6.061150550842285,0.00034265470458194613,0.0468897819519043,174707.5729292724
400,1769716188.5138798,15.62669849395752,7.464146137237549,8.026898384094238,0.13565310835838318,0.0,,,1744.3654634354257,10.768486616663123,,,0.015625005587935448,0,2.8678364753723145,0,2.6497364044189453,0.14483296871185303,,,,,,,,,,,,,,,,0.04992782324552536,0,0.04992782324552536,0.04992782324552536,8.352890611427032,8.3324556350708,3.3382866783393528e-12,0.0468897819519043,174707.5729292724
450,1769716191.0241508,15.629140853881836,7.518126010894775,7.981215953826904,0.12979918718338013,0.0,,,1841.1138319262436,10.846363112696217,,,0.015625005587935448,0,2.720950126647949,0,2.6737444400787354,0.1441330909729004,,,,,,,,,,,,,,,,0.049901776015758514,0,0.049901776015758514,0.049901776015758514,0.7280862577285746,0.5082830786705017,7.544148682495089e-13,0.0468900203704834,174706.68460525447
500,1769716193.5249321,15.568121910095215,7.442361831665039,8.006718635559082,0.11904134601354599,0.0,16.067561149597168,7.461130142211914,1706.7765834640518,10.737058507044454,1739.1124267578125,10.764135455596294,0.015625005587935448,0,2.6009621620178223,0,2.6884424686431885,0.1431904286146164,,,,,,,,,,,,,,,,0.049871733784675604,0,0.049871733784675604,0.049871733784675604,1.4714357839673056,1.392673373222351,3.638742952782881e-12,0.0468904972076416,174704.90798431914
