token_id,category,mu_0,mu_1
0,punct,-0.001428888,0.0023974744
1,punct,0.017657675,-0.0012339171
2,punct,-0.015867705,-0.01071363
3,punct,0.0059207976,0.015449976
4,punct,-0.017213484,0.02004816
5,punct,0.0072383373,-0.03873149
6,punct,0.38795725,-0.18101442
7,punct,-0.016248286,0.04182599
8,punct,-0.004730339,0.0038011887
9,punct,0.008031222,0.012395416
10,punct,0.022007972,0.036199644
11,punct,0.26877794,-0.73663753
12,punct,0.38655144,0.01449177
13,punct,0.38719267,0.013879599
14,punct,0.0071012336,-0.0040551713
15,digit,0.39384264,-0.004458245
16,digit,0.25829372,-0.0073610907
17,digit,0.2985875,-0.0037400804
18,digit,0.36437172,-0.4242886
19,digit,0.3882612,-0.0027553027
20,digit,0.38478467,0.026612163
21,digit,0.34866926,0.48152134
22,digit,0.6133788,-0.14251305
23,digit,0.3115075,-0.007957467
24,digit,0.38847214,-0.008045931
25,punct,-0.03390372,0.012391456
26,punct,0.021735687,0.035231605
27,punct,0.0025851163,0.01879188
28,punct,0.02176635,-0.0075853104
29,punct,0.38975352,-0.041471712
30,punct,-0.009204302,0.031925894
31,punct,0.040666938,-0.011173708
32,letter,0.34630355,0.4807752
33,letter,0.38182786,0.6243827
34,letter,0.26636222,-0.86752784
35,letter,0.33364335,-0.34328115
36,letter,0.33908638,-0.0019074176
37,letter,0.29752383,-0.45997497
38,letter,0.3283117,-0.0017454454
39,letter,0.38615194,0.0032458047
40,letter,0.3648056,-0.27402636
41,letter,0.33792064,0.46957454
42,letter,-0.4220052,0.23185907
43,letter,0.3871383,-0.061944477
44,letter,0.38378775,0.8520231
45,letter,0.33564925,0.8505684
46,letter,0.3295652,0.47223434
47,letter,0.89827085,-0.6257138
48,letter,0.41058332,-0.62897754
49,letter,0.38056687,0.1490747
50,letter,0.38925603,-0.010926676
51,letter,0.38791612,0.0031527313
52,letter,0.26365504,-0.9264404
53,letter,0.38244167,0.59354705
54,letter,0.4077511,-1.0920291
55,letter,0.3850028,-0.32293844
56,letter,0.38795763,-0.009291938
57,letter,0.6631606,-0.6432024
58,punct,-0.016391357,-0.011322343
59,punct,0.012120641,0.0052584265
60,punct,0.013430163,0.03004758
61,punct,0.017939689,0.01940757
62,punct,-0.026786799,0.027779277
63,punct,-0.5320601,0.35593805
64,letter,0.3194508,0.44273463
65,letter,0.33761045,0.45528463
66,letter,0.3362833,0.4573778
67,letter,0.16476156,0.84231395
68,letter,0.4316412,-0.3261991
69,letter,0.38310117,-0.09689049
70,letter,0.55954194,0.19178686
71,letter,0.38468254,-0.0832944
72,letter,0.21687198,0.6013848
73,letter,0.38197663,0.63053507
74,letter,0.33936435,0.4433651
75,letter,0.3284612,0.45288667
76,letter,0.31659958,0.4630489
77,letter,0.3868689,-0.096251026
78,letter,0.33014163,0.45471287
79,letter,0.2971436,-0.0049454872
80,letter,0.38434136,0.0099000195
81,letter,0.38574868,0.0072414167
82,letter,0.2568484,-0.7335742
83,letter,0.32269982,0.4936293
84,letter,0.66719866,0.088013925
85,letter,0.34032658,-0.0052630007
86,letter,0.29406005,0.50702393
87,letter,0.34087825,0.4596336
88,letter,0.36252922,-0.3808361
89,letter,0.1379754,0.82453716
90,punct,0.021183206,0.006942549
91,punct,0.017659152,0.0329668
92,punct,0.018320346,-0.0017899974
93,punct,-0.00719024,0.017894961
94,punct,0.34093204,0.47456947
95,punct,0.3840982,-0.0017732384
96,punct,0.3876059,0.010371537
97,punct,0.3896412,-0.016808875
98,punct,0.35459605,-0.06433885
99,punct,0.3405454,0.5164384
100,punct,0.39056292,0.031457715
101,punct,0.38506365,0.64423877
102,punct,0.4737823,0.32839888
103,punct,0.82523715,-0.84840304
104,punct,0.37721398,-0.13685627
105,punct,0.2198505,-0.13113606
106,punct,0.3214194,0.503185
107,punct,0.32405284,0.5055427
108,punct,0.58843756,0.24428265
109,punct,0.3915575,0.07450349
110,punct,0.38435864,0.019477582
111,punct,0.3191557,0.4838114
112,punct,0.34189874,1.001848
113,punct,-0.38108233,1.4575149
114,punct,0.30449542,0.4985833
115,punct,0.33440033,0.50577784
116,punct,0.51909727,-0.22396114
117,punct,-0.581061,1.0109813
118,punct,0.3834876,0.01798069
119,punct,0.31930232,0.4862181
120,punct,0.3281199,0.48804197
121,punct,0.39615607,0.5967917
122,punct,0.31707993,-0.0038314743
123,punct,0.08936969,-0.15137991
124,punct,-0.019580657,0.005162756
125,punct,-0.0163549,-0.010561977
126,punct,-1.0549084,0.89246845
127,punct,0.34534347,0.85499495
