token_id,category,mu_0,mu_1
0,punct,-0.001428888,0.0023974744
1,punct,0.017657675,-0.0012339171
2,punct,-0.015867705,-0.01071363
3,punct,0.0059207976,0.015449976
4,punct,-0.017213484,0.02004816
5,punct,0.0072383373,-0.03873149
6,punct,0.38142467,-0.28574747
7,punct,-0.016248286,0.04182599
8,punct,-0.004730339,0.0038011887
9,punct,0.008031222,0.012395416
10,punct,0.022007972,0.036199644
11,punct,0.26908782,-0.7920214
12,punct,0.38542223,0.0012558973
13,punct,0.38697702,-0.069788076
14,punct,0.0071012336,-0.0040551713
15,digit,0.39737386,-0.03189217
16,digit,0.22868048,-0.028885039
17,digit,0.21876873,-0.010275978
18,digit,0.37720534,-0.44758105
19,digit,0.38833392,-0.01736497
20,digit,0.38349244,0.025282305
21,digit,0.36779815,0.5039278
22,digit,0.67814445,-0.15546714
23,digit,0.2864871,-0.042923074
24,digit,0.38834652,-0.008699155
25,punct,-0.03390372,0.012391456
26,punct,0.021735687,0.035231605
27,punct,0.0025851163,0.01879188
28,punct,0.02176635,-0.0075853104
29,punct,0.38780567,-0.11616583
30,punct,-0.009204302,0.031925894
31,punct,0.040666938,-0.011173708
32,letter,0.36847055,0.5225174
33,letter,0.3803811,0.7375363
34,letter,0.28609797,-0.9051711
35,letter,0.31179914,-0.497635
36,letter,0.30595213,-0.006764003
37,letter,0.26468506,-0.524277
38,letter,0.26486614,-0.0069259065
39,letter,0.3803974,0.011213155
40,letter,0.29121304,-0.33173162
41,letter,0.3325488,0.50336075
42,letter,-0.4477017,0.23293689
43,letter,0.3829752,-0.086559154
44,letter,0.37819868,0.98649764
45,letter,0.29277143,0.9324708
46,letter,0.32350582,0.48620555
47,letter,0.954443,-0.6212224
48,letter,0.5417868,-0.62647754
49,letter,0.3975325,0.16536014
50,letter,0.38852453,-0.0076067476
51,letter,0.3850311,0.015217159
52,letter,0.27956334,-0.97526693
53,letter,0.38234675,0.70717776
54,letter,0.48318866,-1.1189678
55,letter,0.3665416,-0.44260904
56,letter,0.38719973,-0.0019923032
57,letter,0.6897486,-0.6498081
58,punct,-0.016391357,-0.011322343
59,punct,0.012120641,0.0052584265
60,punct,0.013430163,0.03004758
61,punct,0.017939689,0.01940757
62,punct,-0.026786799,0.027779277
63,punct,-0.59666187,0.4244022
64,letter,0.30549955,0.45194048
65,letter,0.30599862,0.49377298
66,letter,0.31761506,0.48373008
67,letter,0.06740104,0.8889239
68,letter,0.4579587,-0.34840634
69,letter,0.33030424,-0.14916025
70,letter,0.5890883,0.1960888
71,letter,0.3784358,-0.14452927
72,letter,0.18220842,0.61793923
73,letter,0.37137926,0.7497466
74,letter,0.33101603,0.469836
75,letter,0.31662434,0.4890733
76,letter,0.32448286,0.46574834
77,letter,0.38100156,-0.15366097
78,letter,0.31789446,0.49596742
79,letter,0.2583949,-0.013010198
80,letter,0.38679793,-0.020543968
81,letter,0.38714206,-0.00066659297
82,letter,0.32259205,-0.82500887
83,letter,0.2699257,0.5525031
84,letter,0.7072134,0.089640744
85,letter,0.2954029,-0.011606072
86,letter,0.32737848,0.4781773
87,letter,0.30626547,0.50340444
88,letter,0.34293318,-0.46507296
89,letter,0.08520526,0.8485435
90,punct,0.021183206,0.006942549
91,punct,0.017659152,0.0329668
92,punct,0.018320346,-0.0017899974
93,punct,-0.00719024,0.017894961
94,punct,0.32370946,0.4957987
95,punct,0.37225196,-0.07677414
96,punct,0.38164687,0.003615513
97,punct,0.38897258,-0.02310598
98,punct,0.35249636,-0.098360084
99,punct,0.35136092,0.5622363
100,punct,0.3861904,0.052755866
101,punct,0.38565192,0.7722112
102,punct,0.33692193,0.50688165
103,punct,0.93193966,-0.85391587
104,punct,0.3432042,-0.17965992
105,punct,0.21392153,-0.16229162
106,punct,0.31848902,0.52949417
107,punct,0.34168708,0.4961454
108,punct,0.58997405,0.24454825
109,punct,0.37676626,0.11272185
110,punct,0.38898304,-0.016967582
111,punct,0.30335817,0.50138336
112,punct,0.30553856,1.0900323
113,punct,-0.42262465,1.4684167
114,punct,0.27770022,0.47776183
115,punct,0.32281104,0.55627155
116,punct,0.53076047,-0.219489
117,punct,-0.6264549,1.0185748
118,punct,0.35401997,0.05810716
119,punct,0.31152612,0.50688404
120,punct,0.3305248,0.50453204
121,punct,0.38560078,0.7348266
122,punct,0.24645135,-0.008741513
123,punct,-0.15875578,0.07287764
124,punct,-0.019580657,0.005162756
125,punct,-0.0163549,-0.010561977
126,punct,-1.0680368,0.925296
127,punct,0.3104205,0.9339755
