token_id,category,phi_0
0,punct,0.020460695
1,punct,-0.0047586635
2,punct,-0.0102144405
3,punct,-0.026836576
4,punct,0.0075138733
5,punct,-0.019803705
6,punct,-0.05605115
7,punct,-0.030057631
8,punct,0.018826885
9,punct,-0.0110455705
10,punct,-0.01786881
11,punct,0.119693585
12,punct,0.039028678
13,punct,0.043387692
14,punct,-0.027325531
15,digit,1.5005578
16,digit,1.517389
17,digit,-1.5549814
18,digit,-0.040590324
19,digit,-0.0049002916
20,digit,0.13616768
21,digit,-0.15648325
22,digit,-0.053008437
23,digit,-1.6177156
24,digit,-0.048672102
25,punct,0.016441343
26,punct,-0.025642429
27,punct,0.011311282
28,punct,0.03564262
29,punct,-0.07506695
30,punct,-0.023731599
31,punct,0.015181904
32,letter,-0.13761961
33,letter,-0.12732227
34,letter,-0.05786105
35,letter,-0.037274435
36,letter,1.5006843
37,letter,-0.05365523
38,letter,1.5359217
39,letter,-0.0012682822
40,letter,-0.042797673
41,letter,-0.1310674
42,letter,-0.13587429
43,letter,-0.04980934
44,letter,-0.119304754
45,letter,-0.13561188
46,letter,-0.11135897
47,letter,1.5066833
48,letter,-1.5863495
49,letter,0.07100319
50,letter,-0.06898667
51,letter,-0.045546178
52,letter,-0.060361143
53,letter,-0.13082717
54,letter,-0.014535423
55,letter,0.047310084
56,letter,-0.05852284
57,letter,-1.5775907
58,punct,0.021839987
59,punct,0.0031218426
60,punct,-0.0040047006
61,punct,-0.010620652
62,punct,-0.000854298
63,punct,-4.681202
64,letter,-0.117793806
65,letter,-0.1361729
66,letter,-0.12095047
67,letter,-0.13532108
68,letter,0.06356174
69,letter,0.09541889
70,letter,-0.042118575
71,letter,0.04075101
72,letter,-0.12014244
73,letter,-0.12191764
74,letter,-0.115398884
75,letter,-0.12506293
76,letter,-0.11927999
77,letter,0.02436336
78,letter,-0.11439547
79,letter,-1.606497
80,letter,-0.03856705
81,letter,0.034882493
82,letter,0.055768993
83,letter,-0.0922139
84,letter,0.015256487
85,letter,-1.59832
86,letter,-0.12709473
87,letter,-0.12717408
88,letter,-0.009118758
89,letter,-0.11151238
90,punct,0.01040497
91,punct,0.0027674085
92,punct,-0.027877659
93,punct,-0.044539254
94,punct,-0.09710295
95,punct,-1.6461644
