step,timestamp,train_loss_total,train_loss_ce,train_loss_belief_align,train_loss_self_consistency,train_loss_model_align,val_loss,val_ce,train_ppl,train_bpc,val_ppl,val_bpc,beta_mean,beta_std,kl_mean,kl_std,attention_entropy,attention_concentration,rg_modularity,rg_effective_rank,rg_n_clusters,rg_kl_within_mean,rg_kl_within_std,rg_kl_between_mean,rg_kl_between_std,rg_beta_entropy,rg_dynamic_n_iterations,rg_dynamic_modularity_init,rg_dynamic_modularity_final,rg_dynamic_modularity_change,rg_dynamic_rank_init,rg_dynamic_rank_final,rg_dynamic_rank_change,mu_lr,sigma_lr,phi_lr,ffn_lr,grad_norm_total,grad_norm_mu,grad_norm_ffn,step_time,tokens_per_sec
50,1770670650.3898075,14.403436660766602,7.665273666381836,6.467374801635742,0.27078795433044434,0.0,,,2132.9764260233364,11.058652305545838,,,0.015625005587935448,0,0.9164552688598633,0,3.1270084381103516,0.09982569515705109,,,,,,,,,,,,,,,,0.025,0,0.0025,0.025,3.3418347630630043,0.8781845569610596,0.012958887556855486,0.28133702278137207,14559.050776559241
100,1770670665.0652804,7.538893699645996,7.154050350189209,0.31169721484184265,0.07314649224281311,0.0,,,1279.276995663089,10.321112962487923,,,0.015625005587935448,0,0.02800609916448593,0,3.140723466873169,0.08978470414876938,,,,,,,,,,,,,,,,0.05,0,0.005,0.05,0.3753637513318519,0.04621988907456398,0.0097254970557518,0.2969675064086914,13792.754801809931
150,1770670679.7718148,7.357490062713623,6.749015808105469,0.5551895499229431,0.053284455090761185,0.0,,,853.2186183139978,9.73677163723498,,,0.015625005587935448,0,0.04900802671909332,0,3.1404659748077393,0.09009198844432831,,,,,,,,,,,,,,,,0.04999950230121613,0,0.004999950230121612,0.04999950230121613,0.3406520101101405,0.04124259576201439,0.0004645187666300742,0.2969670295715332,13792.776948706214
200,1770670694.4933622,7.275390148162842,6.64798641204834,0.5819169282913208,0.04548709839582443,0.0,,,771.2298219181299,9.591017028559353,,,0.015625005587935448,0,0.0528784804046154,0,3.1403884887695312,0.09007793664932251,,,,,,,,,,,,,,,,0.049998010694980624,0,0.004999801069498063,0.049998010694980624,0.30816671946372837,0.04108305275440216,0.0033478979554293162,0.2813382148742676,14558.989086607153
250,1770670709.2624366,7.001153469085693,6.404352188110352,0.5587885975837708,0.03801249712705612,0.0,,,604.470088904588,9.239527141893186,,,0.015625005587935448,0,0.048814885318279266,0,3.1402945518493652,0.09013640880584717,,,,,,,,,,,,,,,,0.04999552369117737,0,0.004999552369117737,0.04999552369117737,0.48721384028402787,0.040360115468502045,0.005929747210481188,0.2969663143157959,13792.810169183995
300,1770670724.0628974,6.899165153503418,6.291383743286133,0.5684509873390198,0.03933025524020195,0.0,,,539.8998952928254,9.076548126768348,,,0.015625005587935448,0,0.0512150339782238,0,3.1402716636657715,0.0901157408952713,,,,,,,,,,,,,,,,0.04999204128980637,0,0.004999204128980637,0.04999204128980637,0.23000559098203752,0.04194480553269386,0.0006013423882178819,0.2969684600830078,13792.71050823073
350,1770670738.908429,6.907876014709473,6.320055961608887,0.548416018486023,0.03940402716398239,0.0,,,555.6040840798751,9.11791339395387,,,0.015625005587935448,0,0.05119136720895767,0,3.1403136253356934,0.09004201740026474,,,,,,,,,,,,,,,,0.04998756498098374,0,0.004998756498098373,0.04998756498098374,0.3973091208902202,0.03796269744634628,0.0006089783571267197,0.2969677448272705,13792.743728388461
400,1770670753.78584,6.73109769821167,6.204839706420898,0.4904404580593109,0.03581785410642624,0.0,,,495.1395818830453,8.951691473964361,,,0.015625005587935448,0,0.045664913952350616,0,3.1403274536132812,0.08997712284326553,,,,,,,,,,,,,,,,0.04998209327459335,0,0.004998209327459336,0.04998209327459335,0.5500635237921436,0.041907187551259995,0.0015957688468927385,0.296968936920166,13792.688361547811
450,1770670768.706281,6.760700702667236,6.1843485832214355,0.5347077250480652,0.04164476692676544,0.0,,,485.09686042853514,8.922129032142252,,,0.015625005587935448,0,0.04677581787109375,0,3.140223264694214,0.09006804972887039,,,,,,,,,,,,,,,,0.049975629150867465,0,0.0049975629150867465,0.049975629150867465,0.5679236156275156,0.04004267230629921,0.0005600600297653146,0.296966552734375,13792.799095673621
500,1770670783.6462939,6.549772262573242,6.0684590339660645,0.4425843358039856,0.03872866928577423,0.0,6.341061592102051,5.730836582183838,432.014448793508,8.754935754140671,308.2269592285156,8.26784951726168,0.015625005587935448,0,0.04360082373023033,0,3.1404666900634766,0.08985971659421921,,,,,,,,,,,,,,,,0.04996816962957382,0,0.0049968169629573825,0.04996816962957382,0.6815128413573908,0.04393487796187401,0.0004102712989841152,0.2969679832458496,13792.73265498477
