step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
50,2.7387835857031115e-05,14.380576133728027,7.6636552810668945,2129.5272401070956,11.056317469077724,,,,3.341355679682648,0.8803467750549316,0.16513951122760773,0.7313947081565857,0.025,14095.93281161028,0.29058027267456055,0,3.1271300315856934,0.09974445402622223
100,5.477567171406223e-05,7.5190958976745605,7.1406450271606445,1262.2423071418816,10.3017731694331,,,,0.516873491983481,0.0495261512696743,0.04009260982275009,0.09503654390573502,0.05,13792.799095673621,0.296966552734375,0,3.1407241821289062,0.08978152275085449
150,8.216350757109334e-05,7.345860958099365,6.741302490234375,846.662788002335,9.725643671793552,,,,0.2698726028319513,0.045566536486148834,0.03784804791212082,0.08426881581544876,0.04999950230121613,13792.754801809931,0.2969675064086914,0,3.1404669284820557,0.09009493887424469
200,0.00010955134342812446,7.268684387207031,6.6432108879089355,767.5555754955636,9.58412740356579,,,,0.28815849653846193,0.045783985406160355,0.03762298822402954,0.08468121290206909,0.049998010694980624,13792.73265498477,0.2969679832458496,0,3.140383720397949,0.09007859975099564
250,0.00013693917928515558,6.995799541473389,6.40364933013916,604.0453815562113,9.2385131321837,,,,0.4490169392324259,0.04691460728645325,0.036504924297332764,0.08351807296276093,0.04999552369117737,13792.754801809931,0.2969675064086914,0,3.140291690826416,0.0901314914226532
300,0.00016432701514218669,6.900393486022949,6.300173759460449,544.6665428686374,9.089229439512367,,,,0.19545226527171716,0.047059316188097,0.036388691514730453,0.08356239646673203,0.04999204128980637,14558.989086607153,0.2813382148742676,0,3.1402688026428223,0.09011157602071762
350,0.0001917148509992178,6.906632900238037,6.328183174133301,560.1379956260001,9.129638483159093,,,,0.2511820432650373,0.04324694722890854,0.03371692821383476,0.07830755412578583,0.04998756498098374,13881.712993802472,0.29506444931030273,0,3.140320301055908,0.09003177285194397
400,0.00021910268685624892,6.738509178161621,6.222560882568359,503.9922457661349,8.977257726911024,,,,0.515314196065616,0.04804791510105133,0.03530034050345421,0.08260904997587204,0.04998209327459335,13792.71050823073,0.2969684600830078,0,3.1403167247772217,0.08996586501598358
450,0.00024649052271328003,6.760603904724121,6.191827774047852,488.7385940513122,8.932919223657384,,,,0.4541344866183362,0.046332161873579025,0.033645860850811005,0.07985886931419373,0.049975629150867465,13792.73265498477,0.2969679832458496,0,3.1402177810668945,0.09006766229867935
500,0.00027387835857031116,6.561023235321045,6.086987018585205,440.09341825168286,8.781665985668372,6.366205310821533,324.5167541503906,8.342149049329068,0.6134587901376127,0.0487380251288414,0.03214626386761665,0.07641608268022537,0.04996816962957382,13792.743728388461,0.2969677448272705,0,3.140469551086426,0.08984172344207764
