step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
500,6.84695615140811e-05,13.66695499420166,6.761281490325928,863.7483720435807,9.754467276147556,,,,2.094402360065306,0.0932498574256897,0.2708786427974701,0.6131595373153687,0.14999406784772873,47.69146719202373,21.471346139907837,0,3.076927661895752,0.10215574502944946
1000,0.0001369391230281622,9.721763610839844,6.663897514343262,783.5990818351636,9.613971896935315,8.784770450592042,593.3056640625,9.212631518089804,2.4674843959141337,0.05550769716501236,0.13904081284999847,0.32366809248924255,0.14996996372938157,47.65382876798226,21.48830485343933,0,3.1265883445739746,0.09194397181272507
1500,0.00020540868454224333,8.912400245666504,6.680703163146973,796.8792511802344,9.63821732312335,,,,5.398054822376094,0.06401874125003815,0.13552743196487427,0.3819289803504944,0.14992732554674149,48.350590584164685,21.178645133972168,0,3.1269173622131348,0.09179627150297165
2000,0.0002738782460563244,8.554437637329102,6.740130424499512,845.671024878856,9.72395273837027,8.266687698364258,564.4776611328125,9.140772915148192,5.654904760737183,0.06571069359779358,0.08927179127931595,0.2653355598449707,0.14986616224050522,46.87858395779284,21.843663215637207,0,3.127589702606201,0.09224482625722885
2500,0.0003423478075704055,8.257803916931152,6.362898826599121,579.9250242204447,9.179722582812756,,,,3.4154208667922425,0.050856634974479675,0.11084061115980148,0.2944163680076599,0.14978649169206618,47.23621647980651,21.678281545639038,0,3.12693452835083,0.09188386797904968
3000,0.00041081736908448667,8.495750427246094,6.545360088348389,696.0072579355653,9.442958540292768,8.12545365333557,492.2869873046875,8.943356080255974,1.915129379121792,0.04073894023895264,0.0977979227900505,0.2758994698524475,0.14968833178281785,47.10741743248976,21.737553358078003,0,3.132354497909546,0.09105277806520462
3500,0.00047928693059856776,9.175596237182617,6.728382587432861,835.7943478539505,9.707004192093041,,,,5.643287870491203,0.02623024955391884,0.11247177422046661,0.30755501985549927,0.14957170486450194,47.879847445060605,21.386868476867676,0,3.130918264389038,0.09144524484872818
4000,0.0005477564921126489,8.126618385314941,6.506280899047852,669.3324678218655,9.386579187686921,7.695795106887817,495.332275390625,8.952252825336778,5.239799683989741,0.03109670989215374,0.11314290016889572,0.30265024304389954,0.14943664222955702,47.272778479206956,21.6615149974823,0,3.1358442306518555,0.09094666689634323
4500,0.00061622605362673,8.094292640686035,6.256131172180176,521.19860679751,9.025689417255197,,,,2.4781875201598735,0.027443796396255493,0.1039900854229927,0.2952778935432434,0.14928317517042158,47.23346222099809,21.679545640945435,0,3.136268138885498,0.09055683761835098
5000,0.000684695615140811,8.456976890563965,6.5726728439331055,715.2791198528238,9.482362517327852,8.50384428024292,480.3594970703125,8.907970622323726,4.363574187219553,0.02756313420832157,0.107281893491745,0.3290253281593323,0.1491113483905792,46.88102116395689,21.842527627944946,0,3.1356306076049805,0.09101153165102005
