token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4
0,punct,-0.039481588,-0.029083839,0.03286114,0.0144166695,0.017852718
1,punct,-0.018765312,0.0049611675,0.020156916,-0.024132516,-0.015507903
2,punct,-0.008788384,-0.020844761,0.012934524,-0.00091615337,0.003136853
3,punct,-0.013069004,0.03200048,-0.008061525,-0.012079001,-0.00643879
4,punct,0.0033197133,-0.011339885,-0.0061286967,-0.009943744,0.011310983
5,punct,0.022544557,0.0041457433,0.011666824,0.022075769,-0.021046348
6,punct,-0.06083892,1.0222424,0.8493493,-0.95774424,-0.86624384
7,punct,-0.024558995,-0.016400512,0.005734681,-0.026552672,-0.012046178
8,punct,0.016336141,-0.026344452,0.014888773,0.0039079743,0.013262668
9,punct,-0.019658081,0.0058966917,-0.037922524,-0.008946857,0.015487707
10,punct,-0.012830605,-0.016593214,-0.0014430886,0.007068951,-0.00526953
11,punct,0.19412395,0.7919947,0.03897177,-1.2470074,-0.3177847
12,punct,-0.62293833,0.06757105,0.027126646,-1.0222006,-0.19305153
13,punct,0.072290145,0.7445247,0.25752997,-0.52586323,-0.54069483
14,punct,-0.0023498826,-0.027302872,0.041408103,-0.017104225,-0.011904814
15,digit,-0.30766764,0.50327647,0.032004826,0.19980153,-0.98640513
16,digit,-0.4988193,0.28569803,0.06795943,0.37130216,-0.7706698
17,digit,-0.42524096,0.23250496,0.10683864,0.35262534,-0.80290705
18,digit,-0.41809207,0.2787536,-0.022670407,0.4435775,-0.887484
19,digit,-0.47513103,0.38848197,-0.08131455,0.37087128,-0.83489543
20,digit,-0.45392433,0.59430987,-0.13801399,0.17365253,-0.8398354
21,digit,-0.40127674,0.63904506,-0.12909038,0.28861442,-0.9599167
22,digit,-0.48624602,0.57601655,-0.024249282,0.10687038,-0.8246981
23,digit,-0.385819,0.65061724,-0.124953054,0.09662148,-0.8790137
24,digit,-0.46068415,0.6914322,-0.08034983,-0.0073104324,-0.7846787
25,punct,-0.04185379,0.008309239,-0.023893239,2.4952496e-06,-0.000990557
26,punct,-0.019335875,-0.0036441002,0.0051355204,-0.002475046,0.028560856
27,punct,0.010036827,0.008076632,0.012522614,0.014326413,-0.00021337156
28,punct,0.048599504,0.019294754,0.019320872,-0.026730465,-0.02051428
29,punct,0.4481999,-0.88840914,0.22242968,0.40470988,-0.5620632
30,punct,-0.02523591,0.002595573,-0.0004608737,-0.006300056,-0.010656588
31,punct,-0.015203421,-0.006110009,0.01756505,0.009887549,0.0057289368
32,letter,-0.34797966,0.281938,0.5320081,0.038726926,-0.8036182
33,letter,-0.3059901,0.23297635,0.58176553,0.048856035,-0.8912171
34,letter,-0.22213653,0.4132902,0.43174678,0.07786449,-1.0701052
35,letter,-0.37213415,0.19465818,0.5742354,0.110541366,-0.8516504
36,letter,-0.40414837,0.37838918,0.63391745,-0.102664374,-0.9213218
37,letter,-0.22217084,-0.008607089,0.55134434,0.22763082,-0.8220047
38,letter,-0.08204961,0.14209974,0.5993632,0.11943485,-0.9457749
39,letter,-0.046371102,0.5443908,0.5774908,-0.11577958,-1.0776598
40,letter,-0.4239631,0.30645326,0.46914253,0.09186427,-0.8315132
41,letter,-0.26342422,0.3998606,0.591372,-0.13311183,-0.9415586
42,letter,-0.3660804,0.14951013,0.6345484,0.1297579,-0.6859748
43,letter,-0.38234922,0.19736056,0.63397545,0.12750503,-0.911326
44,letter,-0.39593703,0.26863712,0.60608095,0.033447187,-0.86181104
45,letter,-0.23739499,0.06503295,0.7892808,0.03382816,-0.8923822
46,letter,-0.35982475,0.37976333,0.6043667,-0.008790097,-0.8925119
47,letter,-0.3438957,0.3516058,0.6314616,-0.02522797,-0.96327907
48,letter,-0.068271376,0.34240597,0.6220508,0.017685799,-1.0258385
49,letter,-0.28168294,0.21280922,0.6572129,0.020192448,-0.95364165
50,letter,-0.53153473,0.3055789,0.46914765,-0.2921638,-0.7176957
51,letter,-0.48765305,0.21246552,0.538277,0.056788623,-0.8470863
52,letter,-0.3096961,0.21888995,0.13970198,0.53888935,-0.87230295
53,letter,-0.33256754,0.45754778,0.59386873,-0.1283734,-0.8624971
54,letter,-0.24797915,0.23060873,0.6876589,0.07207034,-0.9679718
55,letter,-0.24631451,0.47586676,0.42489177,0.10250167,-0.99210894
56,letter,-0.2772582,0.33593306,0.8170147,-0.034703746,-1.0401013
57,letter,-0.32619223,0.13571231,0.45299378,0.2535569,-0.9364135
58,punct,0.010099203,0.03493262,0.019892186,0.010138722,0.008943931
59,punct,0.007445754,-0.025440011,0.023622703,0.0032725227,-0.00066471193
60,punct,-0.04205986,0.008959253,-0.03581103,-0.007741559,0.023003895
61,punct,0.027214166,-0.0089945,0.0090936525,0.018925615,-0.018329551
62,punct,0.01665571,-0.0011471991,-0.024868773,0.012878126,-0.012832635
63,punct,-0.16868418,-0.6922003,1.1123656,0.17725515,-0.88912344
64,letter,-0.13732335,-0.89324826,-0.06308969,0.5159624,-0.21495564
65,letter,-0.35719052,-0.17113526,0.78951657,0.02802436,-0.7157106
66,letter,-0.2829876,-0.2603677,0.89840174,-0.12164439,-0.7366641
67,letter,-0.25693434,0.058705833,0.72532016,0.0002716542,-0.78815854
68,letter,-0.39179897,-0.43272024,0.39973536,0.4437486,-0.60561717
69,letter,-0.20085658,0.09962383,0.9033133,-0.21550514,-0.7438569
70,letter,-0.08081196,-0.13873576,0.72312057,0.01890491,-0.78322977
71,letter,-0.29148924,-0.18515164,0.8162604,0.048627045,-0.728686
72,letter,-0.24262412,-0.9062052,0.1987286,0.5032447,-0.2979379
73,letter,-0.24913178,-0.53371054,0.88228315,-0.19670711,-0.4452671
74,letter,-0.16798963,-0.67772365,0.6880399,0.15564579,-0.53760713
75,letter,-0.14445053,-0.37218124,0.80347127,0.018565843,-0.64269185
76,letter,-0.22451022,0.015433179,0.5046659,0.24209292,-0.84916687
77,letter,-0.20814635,-0.40530902,0.7397007,0.18619001,-0.68542695
78,letter,-0.0283062,-0.92974734,-0.019332716,0.35366282,-0.17854045
79,letter,-0.022213362,-0.17094149,0.66058284,0.06760999,-0.8502045
80,letter,-0.21611133,-1.043375,0.5145592,0.40060273,-0.45609537
81,letter,-0.3255359,-0.5606215,0.6390819,0.2710099,-0.61065096
82,letter,0.0420286,0.586517,-0.09857063,0.09677072,-0.576505
83,letter,-0.122511044,-0.5046424,-0.2870183,-0.54572225,0.16726814
84,letter,-0.1615253,-0.74942577,0.48280078,0.26876745,-0.52002186
85,letter,-0.17117904,-0.5100532,0.7729501,0.019838,-0.6678771
86,letter,-0.20194241,-0.0637437,0.97177905,-0.24796043,-0.68180925
87,letter,-0.12680729,-0.9553521,0.3733343,0.4754426,-0.37104458
88,letter,-0.22882825,-0.93494344,0.1687795,0.37580526,-0.21030462
89,letter,-0.07341832,-0.81411415,0.5584117,0.15495184,-0.49303302
90,punct,-0.028984662,-0.03337201,0.023933386,0.0066989944,-0.008280354
91,punct,0.033317022,-0.024394557,0.03891592,0.010484843,0.011129477
92,punct,-0.0021101916,-0.026885888,-0.029749671,0.020834262,-0.02878609
93,punct,0.018017882,0.0036300083,-0.019077731,0.04167837,0.038394127
94,punct,0.03793302,-0.34451517,0.030169705,-1.1552571,0.27502817
95,punct,0.3704436,-0.02167213,0.006837773,-1.3308316,0.031758785
96,punct,0.17353927,-0.54794014,0.19690883,-1.0819391,0.20826983
97,punct,0.31165478,-0.37694407,-0.16978495,-1.0209714,0.4097937
98,punct,0.18657461,-0.4760303,-0.061737318,-1.0268886,0.2658117
99,punct,0.52565676,-0.2873114,0.34038138,-1.0674101,-0.10500556
100,punct,0.1722658,-0.9140415,-0.17044277,-0.7245022,0.40369868
101,punct,0.42151052,-0.5869454,-0.13692673,-0.90722466,0.20653453
102,punct,0.32241228,-0.46953818,-0.17310137,-0.9331073,0.11524619
103,punct,0.10035755,-1.0515659,-0.06369478,-0.5913014,0.30739477
104,punct,0.39106005,-0.75947267,0.014974111,-0.8093748,0.19403766
105,punct,0.30198047,-0.2132957,-0.09545546,-1.0791017,0.082361765
106,punct,0.22138262,-0.11862333,0.103831224,-1.256953,-0.1573041
107,punct,0.33238846,-0.30225062,-0.1811076,-1.0602288,0.1818658
108,punct,0.0013877534,-0.8095596,0.04083851,-0.7206531,0.42432493
109,punct,0.36901322,-0.36402595,-0.16685075,-0.9985077,0.2523075
110,punct,0.525523,-0.49952206,-0.5375876,-0.59711444,0.35982463
111,punct,0.3503753,-0.36831608,-0.33267733,-0.90941787,0.30406937
112,punct,0.343799,-0.1057607,-0.115406476,-1.2808965,0.12052675
113,punct,0.2576866,-0.26620576,0.4029406,-1.1422168,-0.0314388
114,punct,0.46560296,-0.41386846,-0.010747126,-1.0491214,0.13461512
115,punct,0.13842426,-0.38506785,-0.106647804,-1.0703628,0.30963382
116,punct,0.13069333,-0.21003883,0.021083215,-1.2676512,0.24648696
117,punct,0.5394077,-0.45987815,-0.8388865,0.07147413,0.14797229
118,punct,0.23994957,0.023320861,0.12907578,-1.3299625,0.116453305
119,punct,0.15285942,0.0044828984,0.4019982,-1.2894359,0.018184597
120,punct,0.2049917,-0.13674963,0.011414634,-1.3019652,0.21412985
