token_id,category,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9
0,punct,-0.022961047,0.002596506,0.027404066,0.03951484,-0.006682152,0.00088597735,-0.037348013,0.012668648,-0.0043886877,-0.0017768802
1,punct,-0.053644985,0.04053133,0.0060477587,0.01203099,0.03795768,0.023674285,-0.017416375,0.0011601229,0.03058851,-0.02633727
2,punct,0.029078215,-0.03032459,-0.026338372,0.00822289,0.0073354463,-0.011427579,-0.028440308,0.025065338,-0.0077097393,0.009883625
3,punct,0.0026184642,0.012871399,0.003146981,-0.002335686,-0.007798744,0.012789407,-0.0052356427,-0.015993347,-0.027251355,-0.036478605
4,punct,-0.00014290643,-0.046161328,0.004233621,0.026146047,-0.03450556,0.013805796,0.052254755,-0.014073405,0.00013748014,0.02041488
5,punct,-0.026939627,0.018874772,-0.00087007124,-0.049191024,-0.035093144,0.005564552,-0.017652022,0.0069290535,0.021468863,-0.022721248
6,punct,-0.013793699,-0.0073127314,0.020984676,-0.031080322,-0.03279004,0.01463126,0.022425072,0.008127193,0.031097788,-0.008914503
7,punct,0.02705471,0.03392225,0.022903502,0.026292553,0.02124164,0.009137389,0.024474015,0.0034673526,0.011843777,-0.040242143
8,punct,-0.011113691,0.008878062,-0.03024438,0.002121728,0.0047922255,-0.043661576,0.009901911,-0.01739415,0.037569027,0.010059683
9,punct,-0.0076661855,0.016377896,-0.024707593,-0.028983928,-0.012199211,0.007420982,0.00312276,0.009572888,-0.006806087,-0.037914846
10,punct,-0.016308617,0.019030044,-0.009880442,0.0032079844,-0.02988505,-0.041005824,-0.016769327,-0.019387862,0.0016922505,-0.007070957
11,punct,0.03862964,-0.019415537,0.008754214,-0.014756635,0.008031278,0.015350984,0.033774626,-0.019824468,-0.0031285095,-0.0052816723
12,punct,-0.006814346,-0.005546777,-0.0005183768,0.0017206278,0.011606491,0.0010190154,-0.0105388295,-0.014225923,0.013729961,0.0055117905
13,punct,-0.04704914,0.0040297476,-0.0019764735,0.036113203,-0.005227034,0.006873751,-0.040997285,-0.0072543803,-0.021787222,-0.022494204
14,punct,-0.04777484,0.02630796,0.0056966147,0.032460008,0.011173347,-0.014567251,-0.0034909642,0.021445539,-0.022077281,-0.030588597
15,digit,-0.01510334,0.011595388,0.027279321,-0.0034939258,0.03990255,-0.02370251,-0.026502263,-0.0073120617,-0.03465524,0.009753435
16,digit,0.029809555,0.004723548,-0.0129688345,-0.01909888,0.03149166,0.019918058,0.0066317534,-0.010579557,-0.023113195,-0.0017421761
17,digit,-0.004768608,-0.0017381179,0.005345119,0.027096486,-0.0050426596,0.0033620307,0.00027294023,-0.035286475,-0.00309847,-0.0018257704
18,digit,-0.007368473,0.013799474,0.033883937,-0.0035942488,0.004189866,0.024666432,0.016941253,0.028905112,0.00015505639,0.017131295
19,digit,-0.024935866,-0.019884722,-0.016719453,-0.043462213,-0.022258319,-0.015163835,0.014366441,0.016146587,0.008366269,-0.015494799
20,digit,0.011889843,-0.012982087,-0.010145779,-0.0014770842,0.0031506652,0.02843238,-0.04389286,0.009685485,0.000114372386,0.02837955
21,digit,0.010410824,0.022138765,-0.005239412,0.02761123,-0.013601131,0.005945263,0.005572325,0.0149799865,-0.013135303,0.012201234
22,digit,0.014667329,-0.0141493175,0.01674378,0.010910971,0.015525929,-0.026180927,0.00015051625,0.018513367,0.01808659,-0.009331999
23,digit,0.0006155892,0.02375853,-0.002145212,0.028010212,0.0140389465,0.012365342,-0.03205462,-0.023662813,-0.009345729,-0.004342611
24,digit,-0.00097141485,0.018955447,-0.019374307,-0.02974416,0.020245895,0.032480415,0.013826848,-0.020934964,-0.031743534,1.7669288e-05
25,punct,-0.008768364,0.01377638,0.0071285763,0.007656947,0.028155489,0.009200596,0.03393839,-0.013481983,-0.020641463,0.016267832
26,punct,-0.0118410755,0.012586314,0.00020122889,0.028006554,-0.025229285,-0.031725753,-0.01939607,0.010298223,0.0037660066,-0.004151624
27,punct,-0.010349369,-0.022692986,0.0298231,0.01911819,-0.012454149,0.013784244,-0.00024109255,-0.02065326,-0.011581286,0.022220718
28,punct,0.0035416344,-0.005478761,-0.007967285,0.0027106046,-0.0011732775,-0.003555127,-0.015899682,0.028181078,-0.039231732,0.00010749053
29,punct,0.0067442823,-0.005745167,-0.014262686,-0.0014338443,-8.6774635e-05,0.038857378,0.036204793,-0.042556625,-0.009004774,-0.019671798
30,punct,0.001472041,-0.030963724,0.018081933,-0.027706143,0.002228003,-0.023280399,0.006684489,0.010110754,-7.91146e-05,-0.02396536
31,punct,-0.009181102,-0.018156886,-0.0021228543,-0.004802993,-0.027509749,-0.03370089,-0.026670236,-0.008396522,0.005556164,-0.016486866
32,letter,-0.022884088,0.0079688765,0.039762862,-0.0139098205,0.04276697,-0.010638765,0.00014993387,-0.021226203,-0.013528739,0.021160748
33,letter,-0.0091678575,0.0012793451,0.015077094,-0.014674402,-0.00094187405,-0.010708575,-0.02900472,0.00013695963,-9.497228e-05,-0.027058322
34,letter,0.0076307254,0.004373122,0.010031279,-0.018924695,0.02099045,0.017428452,-0.014651235,0.0011936702,-0.027877185,-0.0065320926
35,letter,0.02079252,-0.0111420555,-0.0083293,0.02696367,0.026802305,-0.0076240166,0.022213988,0.0060722814,-0.0135539435,0.0024021608
36,letter,-0.028607143,-0.01601253,0.013993505,-0.010031532,-0.03293197,-0.0071876305,0.011311469,0.0001321884,0.0067946995,-0.011674252
37,letter,0.016611855,-0.0061185583,-0.005925988,0.01718853,-0.007384244,0.01688441,0.041936144,-0.02248911,-0.01119921,-0.011585353
38,letter,0.027387477,0.012942288,0.019956036,0.0010794178,-0.0039465977,-0.008317695,-0.026184581,0.029137472,0.014049633,-0.019521728
39,letter,-0.02465483,0.005919404,-0.008109573,-0.011693741,0.01472193,-0.011975029,-0.031325407,0.010469666,-0.02072379,-0.0029689483
40,letter,0.008222771,-0.0063912785,-0.008146835,-0.0051036337,-0.011989866,-0.0309501,0.0046604197,-0.008318199,0.0016083975,0.0073947543
41,letter,-0.019490149,-0.052231777,0.0047882623,-0.0065883147,0.01588665,-0.0036907955,-0.023050703,0.01713909,-0.03635251,-0.04549897
42,letter,-0.045560464,0.021435017,0.03163645,-0.032532405,-0.017688777,0.041424893,-0.023880554,0.0019309127,-0.020404525,-0.008788412
43,letter,-0.006299371,-0.0031935629,0.022579698,0.010890212,-0.021993974,-0.010089103,0.022175696,0.0014182606,0.039143153,0.02169259
44,letter,0.0017671215,-0.028563641,0.025256803,-0.025308695,-0.020690693,0.0040294966,0.008297529,0.0054958044,-0.0072063133,-0.025405318
45,letter,0.00039211716,0.0050979415,-0.002241844,-0.020689225,-0.018150618,0.010537437,0.009160718,-0.00799486,-0.0140204085,-0.00961262
46,letter,-0.014362563,0.01053734,-0.01883172,0.030339748,0.0036463854,-0.026069371,-0.011408529,-0.00976669,-0.02628262,0.0168504
47,letter,0.003611601,0.023042219,0.02938087,0.010867072,0.008393372,0.014823925,0.024418022,0.00059586094,0.0009931854,-0.024758795
48,letter,0.03388828,0.006497394,0.008507755,-0.04293148,0.014509618,-0.030648584,-0.03875937,-0.010491662,-0.003709569,0.005993298
49,letter,-0.0045188298,-0.029572602,0.002644857,0.005887525,0.004878139,-0.0022742108,-0.029916976,0.03824545,0.008866405,0.005954303
50,letter,-0.0008111889,0.00066146656,-0.0142812,0.03962478,-0.023313254,-0.0397167,0.014225134,-0.021022389,-0.014235025,0.030698566
51,letter,0.020334579,0.030378489,-0.053929705,-0.03224622,0.020438809,-0.022374196,-0.0041759885,-0.0022047756,-0.0075349794,-0.0074526477
52,letter,0.02538511,-0.0011940176,-0.024760855,0.0021452503,-0.027112342,0.010681677,-0.015515704,0.023073435,0.02117977,-0.025623122
53,letter,0.015019114,-0.018303612,-0.029931685,-0.016150778,-0.007937618,-0.008362812,-0.024809467,-0.0077031343,0.020931989,0.023497257
54,letter,-0.012407375,-0.037472732,-0.0030059349,-0.029097673,-0.0019548403,-0.0030221317,-0.018508643,-0.017562164,-0.023572918,-0.003270219
55,letter,0.014067829,-0.017761929,-0.016438654,0.0071193683,-0.025758224,-0.005625972,-0.0039439127,-0.00023909702,0.027193,0.019617634
56,letter,0.031007767,-0.032340847,-0.007951566,-0.0039853826,0.011362413,-0.0104196975,-0.0020468573,-1.2076922e-05,0.0038225923,0.012861411
57,letter,-0.009411599,-0.048479788,0.016622657,0.017833615,0.024042651,0.018321909,0.03610164,0.0139477085,0.017294291,0.023411786
58,punct,-0.014475431,0.022213867,-0.027348608,-0.0068440493,-0.009444434,-0.003485981,-0.0063584168,0.0003514693,0.009080931,0.0005680706
59,punct,-0.029012773,0.015431172,-0.01749374,0.0049456907,-0.0044994997,-0.00992188,0.017728673,-0.007315868,0.009551631,-0.006774454
60,punct,-0.0026052638,-0.026883835,0.0011562256,0.009870365,0.036021266,-0.0038193737,0.0020562252,0.01382323,-0.04400332,-0.014364153
61,punct,-0.01074774,-0.009685757,0.0009822916,0.0028858494,-0.008455985,-0.01636614,-0.012145171,-0.03474145,-0.00976776,0.022597257
62,punct,-0.017574241,-0.008859269,0.010975727,0.027000679,-0.035923906,-0.008725072,-0.011631457,-0.021630535,-0.001964002,-0.025107384
63,punct,-0.0049723107,0.019966777,0.010457102,0.010461441,0.012015778,0.0012922565,0.020254577,-0.0012083114,-0.020235062,0.008216142
64,letter,1.1010463e-05,0.009937043,0.018373365,0.0024855551,0.011660905,0.004109135,-0.00033935698,0.020498952,0.002035578,0.0016061807
65,letter,-0.016469989,0.044018153,0.0039098808,0.01786693,-0.02015511,-0.009314603,-0.018340182,0.026760986,0.0024272494,-0.0067965416
66,letter,-0.0001678146,-0.008324175,-0.00032921194,0.009501557,-0.02012867,-0.0074374825,-0.008290287,-0.03097028,-0.026359722,0.029389374
67,letter,0.0009941255,0.0073211356,0.01273808,-0.014238406,-0.008297164,-0.007454079,-0.035036273,0.014494981,0.009891151,0.054520935
68,letter,0.019793047,-0.020446304,0.0028156973,-0.042270664,-0.029104244,0.03255767,-0.024207398,0.005892131,-0.009976025,-0.004953988
69,letter,0.0054081273,0.005870132,-0.008492108,0.028908879,0.0058949357,-0.0052895746,-0.016039332,0.009653683,-0.0024036914,-0.0019275959
70,letter,-0.007959536,-0.03416998,0.01775562,0.00077027455,-0.0064720497,-0.024926333,0.03174411,0.0023213672,0.0028031548,0.044315457
71,letter,0.017681152,0.011260991,0.031635344,0.006236803,0.022579167,0.0041949726,0.009488519,0.025547089,0.054048616,-0.00323792
72,letter,0.0039100186,0.010763008,0.021355707,0.014279124,0.0038902517,0.023103118,-0.03997384,0.047021464,-0.014429119,0.03219403
73,letter,-0.028639762,0.028081277,0.0064786314,0.012072001,-0.004524747,0.02387954,-0.03405468,-0.004488505,-0.01920682,0.00032761428
74,letter,0.014434629,-0.028026862,0.0035205153,0.00043298432,-0.006919394,0.015978742,-0.0027940774,-0.0006482106,-0.0025230465,-0.011927992
75,letter,-0.012342982,-0.033109006,-0.012805447,0.030162413,0.008371876,0.0079207625,0.043637566,-0.009890863,0.027147891,-0.010509933
76,letter,-0.032216888,0.014890165,0.02493111,-0.018899113,0.029038627,-0.005767857,-0.016124595,0.0072526988,-0.00047551992,-0.02776846
77,letter,0.017671926,0.009976857,0.04053879,-0.017177802,-0.004192154,-0.025586346,0.0051860576,-0.011284247,0.017243572,0.0039994693
78,letter,-0.0030924755,-0.0070005264,0.0040546474,-0.03415334,-0.01619694,-0.02891091,-0.011586476,-0.015897417,-0.0019957793,-0.003574351
79,letter,-0.008635652,-0.004851969,-0.006565561,-0.0140750045,0.014700057,0.008156874,0.012279826,0.016318958,-0.027121572,-0.005613542
80,letter,0.017950261,0.001289316,-0.005317756,-0.026273645,0.026564378,0.037010495,-0.04376853,-0.05350331,0.018205289,0.02526348
81,letter,0.03283514,0.037912946,0.0068695275,-0.02960354,-0.010151003,-0.005695308,0.013923285,-0.019988474,0.03823288,0.022694437
82,letter,-0.059867125,-0.006750143,-0.0097091105,-0.008730781,-0.016295705,0.03269589,-0.009027501,0.017808774,-0.021604372,-0.035466693
83,letter,-0.0150340125,-0.018391147,-0.016890854,0.039553214,-0.012695411,0.0049332646,-0.0127185,0.021262774,-0.021410218,-0.023120292
84,letter,-0.0016991517,-0.013011091,0.0064048544,-0.030625356,-0.035591025,0.02304826,-0.007034887,0.03712098,-0.0056290478,-0.019217372
85,letter,0.033334337,0.010491125,-0.0017851525,0.012599721,-0.018083094,-0.004344774,-0.010688201,-0.010656281,-0.0045534344,-0.033965584
86,letter,-0.030887214,-0.012746937,-0.0018140214,-0.013645084,-0.011878835,-0.009559541,0.039617307,0.006145635,-0.025975237,-0.035274085
87,letter,0.011529318,-0.016455663,0.021854976,0.027221853,-0.036422577,-0.0021925743,-0.020654963,0.0046488964,0.0034523334,0.028908186
88,letter,-0.0021769325,0.0012780648,-0.022474017,0.002927657,0.008967425,0.013982889,-0.012990947,-0.002624611,0.017566271,0.004108093
