step,epoch,train_loss,train_ce,train_ppl,train_bpc,val_loss,val_ppl,val_bpc,grad_norm_total,grad_norm_mu,grad_norm_sigma,grad_norm_phi,lr_current,tokens_per_sec,step_time,beta_loss,attention_entropy,attention_concentration
100,5.477567171406223e-05,10.312719345092773,10.312719345092773,30113.21361958919,14.878109057245023,,,,1.4280462535253735,0.0,0.0,0.0,0.0,21837.66935635585,0.18756580352783203,0,0,0
200,0.00010955134342812446,9.726201057434082,9.726201057434082,16750.795981942018,14.031942032249143,,,,1.4356622510434418,0.0,0.0,0.0,0.0,21144.87077160904,0.1937112808227539,0,0,0
300,0.00016432701514218669,8.936822891235352,8.936822891235352,7606.990386568924,12.89311006648821,,,,1.3772776442114418,0.0,0.0,0.0,0.0,20158.629184003454,0.20318841934204102,0,0,0
400,0.00021910268685624892,8.067367553710938,8.067367553710938,3188.696698113356,11.638751162767297,,,,1.2001343317719542,0.0,0.0,0.0,0.0,20158.700145852476,0.2031877040863037,0,0,0
500,0.00027387835857031116,7.5778489112854,7.5778489112854,1954.4203089440684,10.932525044917277,7.513424711227417,1832.478759765625,10.839580570980386,0.47777292409187677,0.0,0.0,0.0,0.0,18718.716117285963,0.21881842613220215,0,0,0
600,0.00032865403028437337,7.318441390991211,7.318441390991211,1507.8519856388352,10.558279101819547,,,,0.43747643605177,0.0,0.0,0.0,0.0,20158.700145852476,0.2031877040863037,0,0,0
700,0.0003834297019984356,7.050119400024414,7.050119400024414,1152.996402363537,10.171172296090296,,,,0.46049714635857514,0.0,0.0,0.0,0.0,19600.378757956296,0.20897555351257324,0,0,0
800,0.00043820537371249785,6.906410217285156,6.906410217285156,998.655842493061,9.963843770822164,,,,0.4418233938769747,0.0,0.0,0.0,0.0,20158.652837897618,0.20318818092346191,0,0,0
900,0.0004929810454265601,6.803811073303223,6.803811073303223,901.2755820776057,9.815824494599974,,,,0.5386161609847739,0.0,0.0,0.0,0.0,20158.629184003454,0.20318841934204102,0,0,0
1000,0.0005477567171406223,6.7116618156433105,6.7116618156433105,821.9354102603666,9.68288121755242,6.5732913589477535,715.7216186523438,9.4832548458722,0.5434927265888481,0.0,0.0,0.0,0.0,20158.6055301648,0.20318865776062012,0,0,0
1100,0.0006025323888546845,6.514802932739258,6.514802932739258,675.0609160085872,9.398873883431802,,,,0.6329109485738211,0.0,0.0,0.0,0.0,20158.72379991317,0.2031874656677246,0,0,0
1200,0.0006573080605687467,6.423274040222168,6.423274040222168,616.0166794660187,9.266825604099338,,,,0.6285316530411339,0.0,0.0,0.0,0.0,20158.629184003454,0.20318841934204102,0,0,0
1300,0.000712083732282809,6.360118865966797,6.360118865966797,578.3150942911433,9.175711947394635,,,,0.5951095213105485,0.0,0.0,0.0,0.0,20158.510915365292,0.20318961143493652,0,0,0
1400,0.0007668594039968712,6.33320951461792,6.33320951461792,562.9605274710384,9.136889959650073,,,,0.6628859189913673,0.0,0.0,0.0,0.0,20158.6055301648,0.20318865776062012,0,0,0
1500,0.0008216350757109334,6.260889053344727,6.260889053344727,523.6843164982928,9.032553588816434,6.064504146575928,430.30926513671875,8.749230057715646,0.6473538043985558,0.0,0.0,0.0,0.0,20158.629184003454,0.20318841934204102,0,0,0
1600,0.0008764107474249957,6.1511735916137695,6.1511735916137695,469.26779248936,8.874267636268339,,,,0.7064015669897835,0.0,0.0,0.0,0.0,20158.55822265403,0.20318913459777832,0,0,0
1700,0.0009311864191390579,6.012760162353516,6.012760162353516,408.60959402837284,8.674579268282136,,,,0.6789678758573565,0.0,0.0,0.0,0.0,20158.6055301648,0.20318865776062012,0,0,0
1800,0.0009859620908531201,5.989034175872803,5.989034175872803,399.0290318903454,8.640349905246213,,,,0.6362835153697914,0.0,0.0,0.0,0.0,20158.67649184729,0.2031879425048828,0,0,0
1900,0.0010407377625671823,5.805160045623779,5.805160045623779,332.00832557120907,8.375075609388174,,,,0.6144148277467149,0.0,0.0,0.0,0.0,20158.58187638166,0.20318889617919922,0,0,0
2000,0.0010955134342812446,5.9760847091674805,5.9760847091674805,393.8951311072771,8.621667773848287,5.667794132232666,289.3954772949219,8.176898487351634,0.664843056710742,0.0,0.0,0.0,0.0,20157.659422134875,0.20319819450378418,0,0,0
2100,0.0011502891059953068,5.899056434631348,5.899056434631348,364.69319360057,8.510539464166776,,,,0.6525249484651806,0.0,0.0,0.0,0.0,18719.491174640672,0.2188093662261963,0,0,0
2200,0.001205064777709369,5.838597297668457,5.838597297668457,343.29745862981815,8.423315367093986,,,,0.6766734321366645,0.0,0.0,0.0,0.0,20159.50441505896,0.20317959785461426,0,0,0
2300,0.0012598404494234313,5.64612340927124,5.64612340927124,283.1915175653504,8.145634242802705,,,,0.6354104460174076,0.0,0.0,0.0,0.0,20158.463608298593,0.20319008827209473,0,0,0
2400,0.0013146161211374935,5.724047660827637,5.724047660827637,306.14157575686545,8.258055174088103,,,,0.6268276822892087,0.0,0.0,0.0,0.0,18718.756908178242,0.21881794929504395,0,0,0
2500,0.0013693917928515556,5.637782096862793,5.637782096862793,280.8391531882848,8.133600272756533,5.4103278636932375,223.70492553710938,7.805453178533614,0.6443821539653453,0.0,0.0,0.0,0.0,20158.629184003454,0.20318841934204102,0,0,0
2600,0.001424167464565618,5.594036102294922,5.594036102294922,268.8184117225611,8.07048814333471,,,,0.6716198331749706,0.0,0.0,0.0,0.0,20158.67649184729,0.2031879425048828,0,0,0
2700,0.0014789431362796802,5.744256973266602,5.744256973266602,312.39142639370505,8.287211048923574,,,,0.684148810716193,0.0,0.0,0.0,0.0,21062.58895762685,0.19446802139282227,0,0,0
2800,0.0015337188079937423,5.475930213928223,5.475930213928223,238.87256620287832,7.900097363888287,,,,0.6543500029177762,0.0,0.0,0.0,0.0,18718.87928192176,0.21881651878356934,0,0,0
2900,0.0015884944797078047,5.539632797241211,5.539632797241211,254.58449816256814,7.992000764925752,,,,0.6971687571267694,0.0,0.0,0.0,0.0,20158.6055301648,0.20318865776062012,0,0,0
3000,0.0016432701514218669,5.400628566741943,5.400628566741943,221.54562866144272,7.791460050921872,5.2052579116821285,182.2278594970703,7.509599775731849,0.6687762665389932,0.0,0.0,0.0,0.0,20158.487261804188,0.20318984985351562,0,0,0
3100,0.001698045823135929,5.447655200958252,5.447655200958252,232.21303414526471,7.8593051428954395,,,,0.7182804885160143,0.0,0.0,0.0,0.0,20158.534568981904,0.20318937301635742,0,0,0
3200,0.0017528214948499914,5.5420074462890625,5.5420074462890625,255.18976536289512,7.995426659330939,,,,0.6714268559812407,0.0,0.0,0.0,0.0,20158.58187638166,0.20318889617919922,0,0,0
3300,0.0018075971665640535,5.498987197875977,5.498987197875977,244.44423321172852,7.933361560287569,,,,0.6973377519168709,0.0,0.0,0.0,0.0,20158.67649184729,0.2031879425048828,0,0,0
3400,0.0018623728382781157,5.4991455078125,5.4991455078125,244.48293422606852,7.933589953247915,,,,0.6921409128618721,0.0,0.0,0.0,0.0,20158.747454029373,0.2031872272491455,0,0,0
3500,0.001917148509992178,5.295491695404053,5.295491695404053,199.43566346143098,7.639779608028117,5.056524176597595,157.04373168945312,7.2950223537125,0.6903794438847871,0.0,0.0,0.0,0.0,20158.747454029373,0.2031872272491455,0,0,0
3600,0.0019719241817062402,5.263546466827393,5.263546466827393,193.16533241418995,7.593692385180504,,,,0.6890757636350383,0.0,0.0,0.0,0.0,20158.72379991317,0.2031874656677246,0,0,0
3700,0.0020266998534203026,5.250497817993164,5.250497817993164,190.66115939320647,7.5748671642170615,,,,0.7043508869715407,0.0,0.0,0.0,0.0,21150.806130087065,0.19365692138671875,0,0,0
3800,0.0020814755251343645,5.185721397399902,5.185721397399902,178.70231868945146,7.481414543460625,,,,0.6982775540873107,0.0,0.0,0.0,0.0,20158.629184003454,0.20318841934204102,0,0,0
3900,0.002136251196848427,5.353571891784668,5.353571891784668,211.361913030269,7.723571619320287,,,,0.7185965228502177,0.0,0.0,0.0,0.0,20158.700145852476,0.2031877040863037,0,0,0
4000,0.0021910268685624893,5.2209601402282715,5.2209601402282715,185.11183209024995,7.532253302986274,4.961630334854126,142.8264617919922,7.158119478818295,0.7069315917432387,0.0,0.0,0.0,0.0,20038.31474390302,0.2044084072113037,0,0,0
4100,0.0022458025402765512,5.262845039367676,5.262845039367676,193.02988845337921,7.5926804392628275,,,,0.701553747577442,0.0,0.0,0.0,0.0,20158.298035313666,0.20319175720214844,0,0,0
4200,0.0023005782119906136,5.004996299743652,5.004996299743652,149.15653123996523,7.22068334130778,,,,0.7440170975088868,0.0,0.0,0.0,0.0,19594.923968150593,0.20903372764587402,0,0,0
4300,0.002355353883704676,5.135293006896973,5.135293006896973,169.9140985843524,7.408661754562036,,,,0.71918040277999,0.0,0.0,0.0,0.0,20158.700145852476,0.2031877040863037,0,0,0
4400,0.002410129555418738,5.197021484375,5.197021484375,180.73312295597805,7.4977171229012125,,,,0.7211125138595785,0.0,0.0,0.0,0.0,18718.063487186526,0.2188260555267334,0,0,0
4500,0.0024649052271328003,5.083081245422363,5.083081245422363,161.27020423728558,7.33333610520654,4.8468649959564205,127.340576171875,6.992548093524634,0.7116435205574457,0.0,0.0,0.0,0.0,19945.722589805777,0.20535731315612793,0,0,0
4600,0.0025196808988468627,5.191890716552734,5.191890716552734,179.8081980807279,7.490314989608077,,,,0.7207655508151581,0.0,0.0,0.0,0.0,20158.67649184729,0.2031879425048828,0,0,0
4700,0.0025744565705609246,5.077001094818115,5.077001094818115,160.2926320123134,7.324564302081933,,,,0.7149374102003432,0.0,0.0,0.0,0.0,19524.79734515286,0.20978450775146484,0,0,0
4800,0.002629232242274987,5.140398979187012,5.140398979187012,170.7838939492279,7.416028115463792,,,,0.7352305873144929,0.0,0.0,0.0,0.0,20158.652837897618,0.20318818092346191,0,0,0
4900,0.0026840079139890493,5.14900016784668,5.14900016784668,172.25917392667915,7.428437007688845,,,,0.735474590837879,0.0,0.0,0.0,0.0,20158.55822265403,0.20318913459777832,0,0,0
5000,0.0027387835857031113,5.05229377746582,5.05229377746582,156.38075606307464,7.288919177864107,4.754644441604614,116.12235260009766,6.859501957093252,0.7230095298597932,0.0,0.0,0.0,0.0,20158.58187638166,0.20318889617919922,0,0,0
5100,0.0027935592574171737,5.035147666931152,5.035147666931152,153.72229063483536,7.264182569225208,,,,0.7435006358849825,0.0,0.0,0.0,0.0,18718.777303691048,0.21881771087646484,0,0,0
